generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,3697.7513839209105,4.029717558571113,3725.636588414885,4.082849504285785,3697.643400443562,4.04368030289867,3632.819108371972,4.007751622544557,3747.2975478020667,4.069511693533946,3700.2296057906788,4.046702136366814
2,3679.305041203678,4.018371757699475,3725.636588414885,4.059657829880421,3697.643400443562,4.0076331725643906,3632.819108371972,3.929376943277497,3722.6727085644256,4.061925330313597,3691.615369399705,4.015393006747075
3,3516.889346851255,4.060634080961887,3704.9017288390555,4.024899539446939,3686.081967364509,3.9926359982396242,3632.819108371972,3.9162844671865784,3722.6727085644256,3.966984089760761,3652.672971998244,3.9922876351191583
4,3516.889346851255,4.093281616302792,3617.96960265092,3.9134719208134165,3582.6814305387206,4.010733987962901,3632.819108371972,3.943927670109815,3688.8988946570653,3.92092596526559,3607.8516766139865,3.976468232090903
5,3516.889346851255,4.01727578234695,3573.0115312867715,3.847579018435229,3582.6814305387206,4.0530603881442095,3632.819108371972,3.9727951573134033,3653.5261885116806,3.9072532708277925,3591.7855211120805,3.959592723413517
6,3516.889346851255,4.0173663849842765,3573.0115312867715,3.9610969468265327,3533.267682893798,4.131636309069754,3519.4922244360987,4.017443991732219,3653.5261885116806,3.8659080870036617,3559.2373947959213,3.9986903439232884
7,3516.889346851255,3.9568987277012386,3573.0115312867715,4.014827500330785,3533.267682893798,4.047027452251311,3456.068395539496,4.126087492287797,3640.0347675223147,3.9309999251702368,3543.8543448187274,4.015168219548274
8,3516.889346851255,3.8660024411071694,3573.0115312867715,3.8641514261676444,3419.710199833778,3.8919340018988007,3456.068395539496,4.263625755206618,3538.520595879427,4.05197094827375,3500.840013878146,3.9875369145307964
9,3338.276124104512,3.876569023323176,3573.0115312867715,3.8549510016356714,3367.930275539103,3.68373202075416,3456.068395539496,4.3710692802810165,3532.4984397108587,4.038579208490236,3453.5569532361487,3.964980106896852
10,3338.276124104512,3.823122135061735,3561.46132874323,3.7742849628660093,3367.930275539103,3.1487549879376524,3456.068395539496,4.445807908364613,3532.4984397108587,4.023980414971103,3451.2469127274403,3.8431900818402225
11,3338.276124104512,3.784462493118999,3460.2436631871196,3.577408244758249,3365.664630599155,2.7866451533269925,3456.068395539496,4.579620009068398,3532.4984397108587,4.020626366000517,3430.5502506282282,3.7497524532546307
12,3338.276124104512,3.8498162611343143,3440.275013492796,3.299632255833048,3300.851592014949,2.6034740990341665,3244.620236869349,4.613379242241835,3423.602089550465,3.9552682822338188,3349.525011206414,3.664314028095437
13,3338.276124104512,3.8607857981143043,3440.275013492796,3.1271888972889883,3283.0465301200884,2.3653947816280976,3197.6544336380803,4.67833508834361,3423.602089550465,4.0647023752414375,3336.5708381811883,3.6192813881232873
14,3338.276124104512,3.5499750795090184,3252.6703819810264,2.757373045314819,3032.7457800762068,2.0485721003755812,3197.6544336380803,4.622480061376872,3355.853893190279,4.183277185635871,3235.440122598021,3.4323354944424325
15,3168.865501448634,3.4363738045746093,3252.6703819810264,2.5210554892738912,3032.7457800762068,1.813762017643759,3197.6544336380803,4.553094158130681,3355.853893190279,4.244584733081431,3201.557998066845,3.313774040540874
16,3168.865501448634,3.245122556837337,3223.178101465477,2.292483769081061,3032.7457800762068,1.6968289167516863,3030.99557946115,3.8991145474207682,3309.8601079073956,4.369627128660374,3153.129014071773,3.1006353837502454
17,3168.865501448634,2.992293435351335,3223.178101465477,2.117477409647075,2822.037425320165,1.6297082979267241,3030.99557946115,3.1338491899650007,3297.5161863052,4.240514607202533,3108.518558800125,2.822768588018534
18,3168.865501448634,2.6693203982427285,3042.465025624122,1.9865806119501537,2685.456145293592,1.5992701823641833,2955.643538411715,2.426421842578915,3291.946814867516,4.178815218541373,3028.8754051291157,2.5720816507354707
19,3078.792914116629,2.2991062884292086,2880.321772055473,1.8100798319555256,2685.456145293592,1.5130148681957565,2955.643538411715,1.7914384028444854,3077.9882853115732,3.8111370919331335,2935.640531037797,2.244955296671622
20,3063.9837918905137,1.915069673511161,2880.321772055473,1.6590053800631428,2685.456145293592,1.413480553967087,2910.0211000319173,1.4862260950591835,3077.9882853115732,3.665974279525316,2923.554218916614,2.027951196425178
21,2628.809714388131,1.773787635810827,2784.7766709626853,1.536105013995577,2685.456145293592,1.2595175575949482,2910.0211000319173,1.4141942569386101,3002.5258953736734,2.5299699823657438,2802.31790521,1.7027148893411415
22,2628.809714388131,1.6417921847711017,2615.790994458941,1.5008499408069136,2685.456145293592,1.1600285889157762,2910.0211000319173,1.3749224033602139,3002.5258953736734,2.472749375929185,2768.520769909251,1.630068498756638
23,2628.809714388131,1.5031757515869122,2615.790994458941,1.5377946020128093,2522.2745738216677,1.15145089786111,2843.7461520839265,1.3541013274825642,2913.473899872345,2.0051229069903025,2704.819066925002,1.5103290971867396
24,2628.809714388131,1.488820660972426,2615.790994458941,1.3852182052814952,2522.2745738216677,1.1757785639142462,2645.734188521111,1.3501080771611196,2665.5887965468296,1.728519339608564,2615.6396535473364,1.42568896938757
25,2628.809714388131,1.4350244367505076,2615.790994458941,1.2972637158940734,2470.6807442609147,1.1775048489561484,2645.734188521111,1.3608863241802818,2665.5887965468296,1.60314794642299,2605.320887635186,1.3747654544408003
26,2628.809714388131,1.3445993764370099,2615.790994458941,1.235259811970113,2470.6807442609147,1.1386818487415296,2645.734188521111,1.2950721873978175,2665.5887965468296,1.491183077564862,2605.320887635186,1.3009592604222664
27,2628.809714388131,1.2822817786796568,2520.696142737677,1.2000466706196282,2470.6807442609147,1.102310900455713,2645.734188521111,1.2134224784520915,2665.5887965468296,1.426960020474989,2586.3019172909326,1.2450043697364157
28,2628.809714388131,1.254354425310131,2520.696142737677,1.1863032397763071,2470.6807442609147,1.0993419762398646,2622.91061617577,1.1583726300718995,2665.5887965468296,1.335822172222208,2581.7372028218642,1.2068388887240822
29,2628.809714388131,1.2505175438602012,2520.696142737677,1.1559903752994425,2464.2547045995343,1.071261013660477,2622.91061617577,1.1132217970565783,2665.5887965468296,1.3161868684494062,2580.4519948895886,1.181435519665221
30,2628.809714388131,1.184027205719964,2427.8668379247497,1.1097984459603778,2456.7794800738957,1.0439774083789914,2603.839570327487,1.1351777259914677,2665.5887965468296,1.305390139919038,2556.5768798522186,1.1556741851939678
31,2628.809714388131,1.158104812405035,2427.8668379247497,1.0901028591525301,2456.7794800738957,1.0670550152107483,2603.839570327487,1.113201645582587,2665.5887965468296,1.2908086479831864,2556.5768798522186,1.1438545960668174
