generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,3660.5189859583497,28.60981012658228,3598.550522480211,28.516772151898735,3613.1664666486304,30.438924050632913,3612.2218471875317,22.947151898734177,3534.8102128719183,41.288924050632914,3603.853607029328,30.360316455696204
2,3583.9183654436706,30.94272151898734,3545.190515012344,33.49493670886076,3545.5916454373864,28.939556962025318,3537.7982013807787,36.34493670886076,3512.6341692591586,28.713291139240507,3545.0265793066674,31.687088607594937
3,3520.438394767562,26.184810126582278,3488.51429432211,30.460759493670885,3461.1844064200914,34.03386075949367,3493.894864369532,35.07974683544304,3507.501569792441,22.48386075949367,3494.3067059343475,29.64860759493671
4,3432.3347794114147,29.9,3402.1885129931993,47.62594936708861,3355.0121762899917,29.158227848101266,3417.522023502628,29.013291139240508,3449.897031581585,49.28639240506329,3411.3909047557636,36.99677215189873
5,3391.596736831683,29.494620253164555,3369.7865974448455,36.68101265822785,3329.5362560211843,32.74145569620253,3345.3348044947306,36.57911392405063,3396.1941391203177,33.6626582278481,3366.4897067825523,33.83177215189873
6,3348.211878364026,44.79810126582279,3337.1940854765103,28.975316455696202,3292.6064524614303,22.801582278481014,3327.8278306463303,34.42341772151899,3331.486003907175,32.86867088607595,3327.4652501710943,32.77341772151899
7,3240.65182442517,37.27056962025316,3292.16880373753,37.96740506329114,3279.5104737584797,29.36392405063291,3320.158768955773,31.88607594936709,3291.832974467272,37.65094936708861,3284.864569068845,34.82778481012658
8,3202.08056054837,28.871835443037973,3279.133045366196,21.968354430379748,3250.987041223503,30.100632911392406,3274.8803743848007,27.475949367088607,3237.87294429746,27.225,3248.990793164066,27.128354430379744
9,3151.792822353692,35.07943037974684,3252.899106776361,29.724367088607593,3233.6806477366526,35.460443037974684,3200.115765286514,33.86740506329114,3198.1519101277795,28.75601265822785,3207.3280504562,32.57753164556962
10,3116.46746674362,32.99683544303797,3198.090929156005,28.899050632911393,3184.5384196507966,23.039556962025316,3151.686360459446,25.103164556962025,3137.202809176667,33.08860759493671,3157.5971970373066,28.625443037974684
11,3097.7010894773293,30.748101265822786,3115.1686179648837,35.83132911392405,3127.9049040376717,31.01613924050633,3091.1415439407688,22.96708860759494,3035.696218998154,37.050949367088606,3093.522474883762,31.522721518987346
12,3068.01376366575,27.66518987341772,3036.6719678820887,34.8379746835443,3051.0281558981396,39.65949367088608,3050.490474424658,20.524367088607594,3010.3438421212304,29.541455696202533,3043.309640798373,30.445696202531643
13,2997.7938165010046,36.18006329113924,3024.1995739806525,31.10348101265823,3017.125821948505,27.630379746835445,3015.6518125910275,22.02278481012658,2965.462114876105,24.54367088607595,3004.046627979459,28.296075949367086
14,2977.4315722165366,39.11740506329114,3023.37188383647,21.531962025316457,2995.658331944387,36.90253164556962,2943.534718190918,22.477848101265824,2943.8580150768516,29.40886075949367,2976.7709042530328,29.887721518987338
15,2917.47955070396,23.029113924050634,2998.9902928418637,35.6003164556962,2916.17778628506,27.486075949367088,2904.772861404913,25.904430379746834,2908.3583291211467,31.98354430379747,2929.1557640713886,28.800696202531647
16,2897.756439151045,29.126898734177214,2922.7327520210906,39.6376582278481,2916.17778628506,23.848417721518988,2863.672837677997,25.08512658227848,2888.657147451055,30.850316455696202,2897.7993925172495,29.709683544303793
17,2828.472553669969,54.82911392405063,2861.618921519282,35.640822784810126,2896.87876870952,26.23132911392405,2827.674976258614,26.870886075949368,2878.743868542815,44.40917721518987,2858.67781774004,37.596265822784815
18,2760.8293150641157,25.03512658227848,2833.872178273074,37.20886075949367,2872.3235774124014,34.46708860759494,2800.924367204619,28.26867088607595,2819.7223083329586,30.87405063291139,2817.534349257434,31.170759493670886
