generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,3338.558445351437,98.47721518987342,3155.3501962258315,98.49240506329114,3294.877382631602,98.72848101265822,3307.7309466600777,98.75759493670886,3407.0190344120006,98.4259493670886,3300.7072010561906,98.57632911392406
2,2940.8188283765267,98.54113924050633,2815.135927587226,98.59367088607596,2812.1643219894795,98.50221518987341,2894.6861316545546,98.58512658227848,2939.4187282487633,98.57088607594936,2880.44478757131,98.55860759493672
3,2631.625759725551,98.71392405063291,2585.669908319948,98.72025316455696,2721.586735613496,98.53101265822785,2679.3274667619357,98.5503164556962,2638.039345043392,98.72689873417721,2651.2498430928645,98.64848101265822
4,2530.8255889667435,98.45221518987341,2465.5359544877188,98.68322784810127,2449.4818788095786,97.87879746835443,2531.178016175244,98.54905063291139,2429.418018499932,98.57721518987341,2481.2878913878435,98.42810126582279
5,2320.0685396977346,98.47246835443038,2162.609603976221,98.24493670886076,2262.519391978345,98.43164556962026,2357.5057554447253,98.04050632911392,2146.9356800066985,98.50031645569621,2249.927794220745,98.3379746835443
6,2076.7017030617058,98.34018987341773,2027.7839102649946,98.38512658227847,2184.2437275443904,98.38512658227847,2281.0557130451243,98.49556962025316,2146.9356800066985,98.52120253164557,2143.3441467845823,98.42544303797467
7,2076.7017030617058,98.3379746835443,1845.7740166386816,98.47943037974683,2184.2437275443904,98.35601265822785,2173.8722762664142,98.5487341772152,2031.3197818059034,98.20411392405063,2062.382301063419,98.38525316455696
8,2017.501148541403,98.24113924050633,1845.7740166386816,98.32689873417722,2184.2437275443904,98.39367088607595,2010.8445038483715,98.61613924050633,1983.6580220859616,98.09746835443038,2008.4042837317616,98.33506329113922
9,1908.7968896650764,97.90284810126582,1781.8323096783695,98.37025316455696,2100.7834477723636,98.18386075949367,1838.825756589033,98.48417721518987,1885.8424529058295,98.24778481012659,1903.2161713221346,98.23778481012658
10,1908.7968896650764,97.90316455696203,1781.8323096783695,98.26202531645569,1891.4524774314045,98.17310126582278,1838.825756589033,98.17626582278481,1885.8424529058295,98.2993670886076,1861.3499772539428,98.16278481012657
11,1898.6978257382316,97.90632911392404,1715.560338337172,98.30506329113923,1746.598085121945,97.92626582278481,1830.0938423140706,98.40348101265823,1857.1449943624202,98.19525316455696,1809.619017174768,98.14727848101265
12,1730.1619855415995,98.03892405063291,1628.9160560772864,98.19367088607595,1723.3523773685963,97.96645569620253,1769.7017606090078,98.43544303797468,1765.9505621720527,98.12215189873417,1723.6165483537086,98.15132911392405
13,1593.6643390703057,97.75379746835443,1628.9160560772864,98.03544303797469,1723.3523773685963,98.11012658227848,1739.881849447629,98.38639240506329,1608.8624590510626,98.20727848101266,1658.9354162029763,98.09860759493672
14,1582.734248233829,97.44588607594936,1628.9160560772864,97.72056962025316,1723.3523773685963,97.76930379746835,1561.1796142013463,98.20759493670886,1608.8624590510626,97.99841772151899,1621.0089509864242,97.82835443037973
15,1582.734248233829,97.3509493670886,1529.227183371939,98.15,1656.8873747358434,97.89050632911392,1541.8733649204542,98.1256329113924,1560.2639097726092,97.60063291139241,1574.1972162069349,97.82354430379746
16,1520.1145883995382,97.5740506329114,1529.227183371939,98.28607594936709,1634.0112164994648,97.70537974683545,1541.8733649204542,97.9136075949367,1547.0734181849593,97.2370253164557,1554.4599542752712,97.74322784810127
17,1520.1145883995382,97.79398734177215,1508.8113781826942,98.17215189873417,1445.087995056684,97.7623417721519,1541.8733649204542,97.77436708860759,1547.0734181849593,97.27689873417721,1512.592148948866,97.75594936708862
18,1520.1145883995382,96.99398734177215,1471.110947954282,97.98892405063292,1445.087995056684,97.31012658227849,1541.8733649204542,97.92753164556962,1519.427630591604,96.76740506329114,1499.5229053845123,97.39759493670886
