generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,2915.185412083791,97.49240506329114,3096.322766571099,97.12088607594937,3102.802978833764,97.11044303797469,3013.6372276322736,97.15253164556962,3030.8106629733416,97.49588607594937,3031.7518096188533,97.27443037974685
2,2915.185412083791,95.74746835443038,3053.306150698206,95.18575949367089,3102.802978833764,95.14493670886075,3013.6372276322736,95.18417721518988,3030.8106629733416,96.09683544303797,3023.1484864442755,95.47183544303797
3,2915.185412083791,93.99050632911393,2996.6940650010883,93.25474683544304,3073.1880261607234,94.00696202531645,3013.6372276322736,92.98607594936709,3030.8106629733416,93.42721518987342,3005.903078770244,93.5331012658228
4,2915.185412083791,92.51930379746835,2996.6940650010883,90.81518987341772,3073.1880261607234,92.17753164556962,2959.164650013638,91.06139240506329,2984.699885265571,91.48291139240506,2985.7864077049626,91.61126582278482
5,2915.185412083791,90.17278481012659,2960.9275831227555,87.35126582278481,3071.59926527524,90.12753164556962,2959.164650013638,87.04651898734177,2984.699885265571,88.80886075949367,2978.315359152199,88.70139240506327
6,2885.523592120621,84.24018987341772,2960.9275831227555,86.82310126582279,3035.7394027274395,87.92215189873417,2959.164650013638,83.4496835443038,2984.699885265571,87.80759493670887,2965.211022650005,86.04854430379747
7,2885.523592120621,84.81139240506329,2936.3687252395316,87.04778481012659,2935.048091442814,85.2626582278481,2930.631883560958,80.04715189873417,2984.699885265571,86.90632911392404,2934.454435525899,84.81506329113924
8,2885.523592120621,82.91455696202532,2897.3742092526186,83.99272151898734,2935.048091442814,83.92911392405064,2930.631883560958,76.70411392405063,2879.3645436406114,85.33037974683545,2905.5884640035247,82.57417721518986
9,2885.523592120621,80.51455696202531,2897.3742092526186,82.18037974683544,2935.048091442814,82.53987341772152,2894.3990096463194,72.29208860759493,2879.3645436406114,82.4746835443038,2898.341889220597,80.0003164556962
10,2885.523592120621,78.64493670886075,2895.050407563543,79.59272151898735,2935.048091442814,81.7626582278481,2851.340098222783,72.66803797468354,2879.3645436406114,78.38639240506329,2889.2653465980743,78.2109493670886
11,2855.915723428728,78.8493670886076,2823.1499111931985,75.06930379746835,2935.048091442814,80.77120253164557,2851.340098222783,69.94018987341772,2865.4491270728104,74.39335443037974,2866.180590272067,75.8046835443038
12,2849.9173380351554,75.68006329113923,2823.1499111931985,71.25316455696202,2935.048091442814,78.56044303797468,2851.340098222783,67.22626582278481,2754.131898822242,73.41898734177215,2842.7174675432384,73.22778481012656
13,2843.69999387576,73.49810126582278,2759.566699364221,68.26772151898734,2909.5065540639766,77.17246835443038,2840.7661124824162,65.78512658227848,2753.1560300589426,73.15158227848102,2821.339077969063,71.575
14,2814.708472309719,69.5379746835443,2759.566699364221,65.52689873417721,2909.5065540639766,73.76107594936708,2807.765595870568,64.25632911392405,2753.1560300589426,72.41012658227848,2808.9406703334857,69.09848101265823
15,2814.708472309719,69.80316455696203,2759.566699364221,61.37120253164557,2909.5065540639766,71.80284810126582,2807.765595870568,62.027848101265825,2739.6180818484236,67.3509493670886,2806.2330806913824,66.47120253164557
16,2754.7439572439007,68.4512658227848,2759.566699364221,59.141772151898735,2875.117819363075,69.36044303797469,2791.8487425131425,59.72373417721519,2675.4418912497495,61.29525316455696,2771.343821946818,63.59449367088608
17,2740.9616029622175,67.00886075949367,2751.652000202807,54.360759493670884,2633.6134659965282,68.08259493670886,2770.52022822382,59.02025316455696,2675.4418912497495,55.51455696202532,2714.4378377270245,60.79740506329114
18,2658.186101417965,64.96424050632912,2707.0295679490687,53.765822784810126,2633.6134659965282,66.45949367088608,2770.52022822382,57.870569620253164,2675.4418912497495,51.007278481012655,2688.9582509674265,58.81348101265822
19,2658.186101417965,61.87816455696203,2635.7884317994376,52.31962025316456,2633.6134659965282,65.25917721518988,2751.6982167820543,55.99810126582278,2675.4418912497495,47.84905063291139,2670.9456214491465,56.66082278481012
20,2658.186101417965,56.19335443037975,2635.7884317994376,51.2753164556962,2633.6134659965282,62.0496835443038,2460.945698267126,54.52120253164557,2614.05633680342,44.88512658227848,2600.518006856895,53.78493670886077
21,2658.186101417965,55.824683544303795,2635.7884317994376,51.56677215189873,2633.6134659965282,59.84462025316456,2460.0180181112,54.67120253164557,2614.05633680342,37.62594936708861,2600.3324708257105,51.90664556962025
22,2651.259674515489,54.72974683544304,2635.7884317994376,50.54841772151899,2633.6134659965282,56.997151898734174,2460.0180181112,53.81930379746836,2614.05633680342,30.61740506329114,2598.9471854452154,49.34240506329114
23,2600.489402956735,50.57879746835443,2635.7884317994376,50.072784810126585,2544.0347226906124,56.21898734177215,2460.0180181112,53.732278481012656,2575.0326749888927,21.625316455696204,2563.0726501093754,46.4456329113924
24,2575.4322032965633,48.90854430379747,2560.802986599847,47.481962025316456,2544.0347226906124,53.38481012658228,2460.0180181112,52.86708860759494,2575.0326749888927,18.63607594936709,2543.0641211374227,44.25569620253165
25,2521.6683607546684,46.75221518987342,2514.679470883614,44.505696202531645,2544.0347226906124,53.02025316455696,2460.0180181112,50.92310126582279,2545.3939790334916,17.042721518987342,2517.1589102947173,42.448797468354435
26,2451.3829303494144,44.991772151898736,2514.679470883614,40.165189873417724,2544.0347226906124,49.56107594936709,2450.9973928141544,49.641455696202534,2543.5194815260256,16.308227848101264,2500.922799652764,40.13354430379747
27,2449.8691033252785,42.289556962025316,2514.679470883614,38.33227848101266,2544.0347226906124,49.47658227848101,2450.9973928141544,48.609177215189874,2543.5194815260256,15.366455696202532,2500.6200342479374,38.81481012658228
28,2363.467811229816,39.44715189873418,2514.679470883614,37.890506329113926,2544.0347226906124,47.77341772151899,2448.1991463307563,46.36455696202532,2543.5194815260256,15.638607594936708,2482.780126532165,37.42284810126582
29,2290.236670854271,38.34082278481013,2495.5157845644135,34.84082278481013,2503.895396678644,46.375,2448.1991463307563,42.139240506329116,2517.5249472514406,15.664556962025317,2451.0743891359048,35.47208860759494
30,2290.236670854271,37.14493670886076,2404.1370655271203,34.199050632911394,2481.205439911796,45.154430379746834,2441.878438273527,41.754746835443036,2489.6003763534945,16.005379746835445,2421.411598184042,34.851708860759494
31,2290.236670854271,36.200949367088604,2395.2538856909164,30.893987341772153,2481.205439911796,41.99873417721519,2440.2595033529296,40.33860759493671,2457.4866357686697,14.61993670886076,2412.8884271157162,32.810443037974686
32,2290.236670854271,34.5,2377.015136808567,25.208227848101266,2470.8021024460636,41.0873417721519,2408.7846696230567,39.56930379746836,2405.8173596508127,14.189556962025316,2390.531187876554,30.910886075949367
33,2290.236670854271,33.41898734177215,2369.0807467034324,20.717721518987343,2449.9685411763035,39.55474683544304,2408.7846696230567,37.721518987341774,2404.0646108888977,14.325316455696203,2384.427047849192,29.147658227848105
34,2290.236670854271,33.187341772151896,2362.328074313442,19.894620253164558,2449.9685411763035,36.76170886075949,2386.9828210845953,36.4996835443038,2403.244299833546,12.775949367088607,2378.5520814524316,27.82386075949367
35,2289.3738357844163,30.33987341772152,2351.3225679201814,18.63639240506329,2449.9685411763035,35.731645569620255,2343.1276923291666,33.55443037974683,2371.983061142788,12.526898734177216,2361.1551396705713,26.157848101265824
36,2289.3738357844163,30.3126582278481,2347.526507471664,19.935759493670886,2449.9685411763035,35.46898734177215,2343.1276923291666,29.806012658227846,2366.624942029271,13.682911392405064,2359.324303758164,25.841265822784813
37,2289.3738357844163,30.535759493670888,2334.4989907702657,20.553797468354432,2449.9685411763035,32.597151898734175,2337.471373056947,27.867088607594937,2355.2263156998206,14.18386075949367,2353.3078112975504,25.14753164556962
38,2289.3738357844163,29.251582278481013,2305.2976807525374,18.24272151898734,2446.070749656293,29.400316455696203,2331.751951239195,25.523101265822785,2281.824759940353,14.684493670886075,2330.863795474559,23.420443037974685
39,2263.8262652047997,28.055379746835442,2256.1149230419105,18.319620253164558,2391.3845333578,26.360759493670887,2331.751951239195,25.014240506329113,2281.824759940353,15.029113924050632,2304.9804865568117,22.555822784810125
40,2263.8262652047997,26.79082278481013,2256.1149230419105,18.48354430379747,2391.3845333578,22.984493670886074,2305.206131879549,23.679430379746837,2281.824759940353,15.701898734177215,2299.6713226848824,21.528037974683546
41,2239.452978399367,25.240822784810128,2256.1149230419105,17.607911392405065,2391.3845333578,19.65506329113924,2305.206131879549,23.839240506329112,2281.824759940353,16.039556962025316,2294.796665323796,20.47651898734177
42,2239.452978399367,25.403164556962025,2256.1149230419105,15.333544303797469,2391.3845333578,18.83892405063291,2305.206131879549,23.458227848101266,2247.0816925687323,15.015506329113924,2287.8480518494716,19.60987341772152
43,2239.452978399367,23.714240506329112,2256.1149230419105,15.217721518987341,2388.8708472086546,18.127215189873418,2305.206131879549,24.293037974683543,2247.0816925687323,14.124050632911393,2287.345314619643,19.09525316455696
44,2239.452978399367,23.268037974683544,2215.5015881677837,14.750949367088607,2388.8708472086546,18.249367088607595,2275.9237900357084,23.26613924050633,2247.0816925687323,12.608227848101265,2273.366179276049,18.42854430379747
45,2239.452978399367,22.33987341772152,2215.5015881677837,14.471518987341772,2386.398298073716,18.384177215189872,2268.5575087418883,23.895569620253166,2247.0816925687323,12.749367088607595,2271.398413190297,18.368101265822787
46,2181.7358093628,21.018037974683544,2215.5015881677837,14.692721518987343,2379.0591154928634,18.59113924050633,2263.2204217900044,24.37405063291139,2247.0816925687323,12.22246835443038,2257.319725476437,18.179683544303796
47,2181.7358093628,19.330696202531644,2211.141814431407,15.070569620253165,2351.9681580446986,18.769303797468353,2255.855745401583,23.1,2247.0816925687323,12.687341772151898,2249.556643961844,17.79158227848101
48,2181.7358093628,19.298101265822783,2178.9938659088043,15.93132911392405,2351.9681580446986,19.334493670886076,2255.855745401583,22.068037974683545,2247.0816925687323,12.29367088607595,2243.127054257324,17.78512658227848
49,2165.831565733721,18.46518987341772,2150.619148737357,16.643987341772153,2343.1507103979116,19.157278481012657,2244.507782635086,21.917405063291138,2247.0816925687323,12.858227848101265,2230.2381800145617,17.808417721518985
