generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,4272.980781456434,97.67753164556962,4272.344339063087,97.52310126582279,4256.740985119579,97.55284810126582,4152.508760585238,97.07816455696202,4115.298868235729,97.59272151898735,4213.974746892013,97.4848734177215
2,4134.147162502881,95.21487341772152,4272.344339063087,96.13101265822785,4256.740985119579,95.35063291139241,4152.508760585238,95.56708860759494,4115.298868235729,95.83892405063291,4186.208023101302,95.62050632911391
3,4015.3299441919685,92.1490506329114,4215.451087439273,94.70253164556962,4256.740985119579,93.77658227848102,4136.1819369068835,93.76613924050633,4115.298868235729,93.86803797468355,4147.800564378686,93.65246835443038
4,4015.3299441919685,89.24810126582278,4123.319412898811,92.9753164556962,4212.431016669948,91.8262658227848,4136.1819369068835,90.74208860759494,4030.4211176712843,92.12784810126583,4103.536685667779,91.38392405063291
5,3950.9768974254066,85.35822784810127,4123.319412898811,91.56708860759494,4202.317588988092,89.31740506329113,4068.601849183821,87.44430379746835,4030.4211176712843,91.19208860759494,4075.1273732334826,88.97582278481012
6,3917.888018852602,80.11139240506328,4123.319412898811,90.08291139240507,4034.351309003609,86.4493670886076,4068.601849183821,84.43386075949367,4030.4211176712843,88.48544303797469,4034.9163415220255,85.91259493670886
7,3917.888018852602,72.77753164556962,4028.397997026583,88.37215189873417,3980.6809885789335,81.87215189873417,4017.3251018060255,80.77784810126582,4016.8327228086555,86.72974683544304,3992.22496581456,82.10588607594937
8,3917.888018852602,62.470253164556965,4028.397997026583,86.49746835443038,3980.6809885789335,80.00094936708861,4017.3251018060255,78.66170886075949,4016.8327228086555,86.18639240506329,3992.22496581456,78.76335443037974
9,3798.5735470358627,56.19715189873418,4028.397997026583,84.34556962025316,3854.7015160572605,78.13196202531645,4017.3251018060255,76.0379746835443,4016.8327228086555,85.28892405063291,3943.1661769468774,76.00031645569621
10,3798.5735470358627,52.844303797468356,4028.397997026583,80.61898734177215,3854.7015160572605,76.31139240506329,4009.452384648126,75.07215189873418,4016.8327228086555,83.79746835443038,3941.591633515298,73.72886075949368
11,3598.874017367039,47.93322784810127,3912.952342761577,79.58670886075949,3854.7015160572605,73.92405063291139,3899.568122724131,73.24556962025316,4016.8327228086555,80.93481012658228,3856.585744343733,71.1248734177215
12,3598.874017367039,46.93006329113924,3912.952342761577,74.28607594936709,3854.7015160572605,72.5626582278481,3893.898073330646,70.29398734177215,4016.8327228086555,78.17943037974683,3855.451734465036,68.45044303797468
13,3598.874017367039,46.65981012658228,3912.952342761577,70.7886075949367,3854.7015160572605,72.09746835443038,3893.898073330646,68.05601265822784,4016.8327228086555,72.90506329113924,3855.451734465036,66.1013924050633
14,3598.874017367039,46.51867088607595,3904.861051361451,67.16455696202532,3847.5315288628713,69.15158227848102,3835.3078724979673,66.04208860759493,4016.8327228086555,68.32816455696202,3840.6814385795965,63.44101265822785
15,3580.9115314274654,43.67626582278481,3831.2945478825927,62.879113924050635,3837.705127510808,65.8139240506329,3578.9263287062645,62.959810126582276,3975.079649750546,63.837025316455694,3760.7834370555356,59.833227848101274
16,3567.5225439132296,38.120253164556964,3831.2945478825927,57.53196202531645,3774.0645834917345,63.234177215189874,3578.9263287062645,59.2132911392405,3975.079649750546,57.79746835443038,3745.3775307488736,55.17943037974684
17,3567.5225439132296,36.18892405063291,3804.7739054218277,55.00791139240506,3774.0645834917345,63.45158227848101,3578.9263287062645,57.075632911392404,3916.9709674740407,57.40886075949367,3728.4516658014195,53.82658227848101
18,3502.050250118728,34.03259493670886,3766.9613801068585,49.995569620253164,3774.0645834917345,60.77088607594937,3578.9263287062645,53.40981012658228,3916.9709674740407,55.48006329113924,3707.7947019795247,50.73778481012658
19,3502.050250118728,31.366772151898733,3647.0331313891434,44.48386075949367,3717.328668206058,57.973417721518985,3578.9263287062645,51.881645569620254,3916.9709674740407,53.869620253164555,3672.461869178847,47.91506329113924
20,3484.5260149696564,27.80253164556962,3647.0331313891434,41.08101265822785,3700.972600084937,58.48069620253165,3578.9263287062645,48.92626582278481,3857.924638235231,54.44620253164557,3653.8765426770465,46.147341772151904
21,3484.5260149696564,26.28892405063291,3647.0331313891434,38.8746835443038,3674.254820786609,54.45253164556962,3578.9263287062645,47.287974683544306,3857.924638235231,54.29113924050633,3648.532986817381,44.2390506329114
22,3431.1570218622383,25.859177215189874,3647.0331313891434,35.845886075949366,3610.771334413498,51.155696202531644,3578.9263287062645,45.38575949367089,3857.924638235231,53.33037974683544,3625.1624909212755,42.31537974683544
23,3431.1570218622383,25.981962025316456,3647.0331313891434,34.562025316455696,3591.1576393256514,49.03037974683544,3525.4492064964575,43.00189873417722,3857.924638235231,53.35474683544304,3610.544327461744,41.18620253164558
24,3431.1570218622383,24.81360759493671,3539.391279838912,33.78006329113924,3528.3712921957326,49.11107594936709,3518.144487087842,40.34398734177215,3857.924638235231,52.38797468354431,3574.9977438439914,40.0873417721519
25,3431.1570218622383,23.019936708860758,3539.391279838912,32.24240506329114,3461.9663875439774,46.88417721518987,3501.904132891743,39.2746835443038,3837.838544547888,49.68259493670886,3554.4514733369515,38.22075949367088
26,3431.1570218622383,20.87879746835443,3539.391279838912,29.474367088607593,3428.07694686182,45.23386075949367,3492.6711775202907,39.255379746835445,3694.7791816921913,49.006012658227846,3517.2151215550903,36.7696835443038
27,3412.4499625684334,20.191772151898736,3510.9423146269814,26.375316455696204,3405.2327453828475,43.69430379746836,3421.4253230065788,38.08259493670886,3694.7791816921913,47.64905063291139,3488.9659054554068,35.19860759493671
28,3412.4499625684334,19.97721518987342,3510.9423146269814,24.743354430379746,3405.2327453828475,41.403481012658226,3375.4169589636645,36.56012658227848,3694.7791816921913,45.741772151898736,3479.764232646824,33.68518987341772
29,3412.4499625684334,19.39620253164557,3487.64355200382,22.405696202531647,3405.2327453828475,39.19177215189873,3375.4169589636645,33.644620253164554,3676.102988762139,44.33987341772152,3471.369241536181,31.795632911392403
30,3404.4630192861255,19.463607594936708,3487.64355200382,21.043037974683543,3381.706931118265,35.553164556962024,3375.4169589636645,31.85126582278481,3676.102988762139,42.210126582278484,3465.066690026803,30.024240506329114
31,3404.4630192861255,18.180379746835442,3452.688056639849,20.668354430379747,3336.2210023668176,33.571835443037976,3339.55990550932,30.480696202531647,3676.102988762139,41.152848101265825,3441.8069945128505,28.810822784810124
32,3369.1523227920284,18.54018987341772,3446.8734054387724,18.889556962025317,3207.59164903891,29.998101265822786,3339.55990550932,30.178797468354432,3676.102988762139,40.14841772151899,3407.8560543082335,27.551012658227847
33,3369.1523227920284,18.195253164556963,3415.2865838267608,17.687974683544304,3207.59164903891,25.44145569620253,3333.0319561946144,29.349050632911393,3589.8235997101506,39.06645569620253,3382.977222312493,25.948037974683547
34,3361.5831978467745,17.55632911392405,3415.2865838267608,17.609177215189874,3207.59164903891,23.8003164556962,3333.0319561946144,25.49620253164557,3589.8235997101506,37.95569620253165,3381.463397323442,24.48354430379747
35,3361.5831978467745,18.392088607594935,3415.2865838267608,18.526582278481012,3207.59164903891,21.984493670886074,3310.579363385879,24.56139240506329,3504.751594711406,37.80253164556962,3359.9584777619457,24.253417721518986
36,3301.5529283325013,19.64841772151899,3368.2116313135875,17.53006329113924,3067.073753944346,20.885759493670886,3310.579363385879,25.953164556962026,3504.751594711406,35.62183544303797,3310.4338543375443,23.927848101265823
37,3301.5529283325013,18.710759493670885,3368.2116313135875,16.948417721518986,3067.073753944346,19.014240506329113,3272.0179036600593,24.596835443037975,3504.751594711406,32.381012658227846,3302.7215623923794,22.33025316455696
