generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,4037.096545299173,98.11867088607595,4232.444518394704,98.61297468354431,4052.334605562419,98.84145569620253,4175.15354580855,98.92911392405064,4001.63664689263,98.24113924050633,4099.733172391495,98.54867088607594
2,4037.096545299173,98.91740506329114,4172.710257913466,98.28955696202532,4019.292362343569,98.90569620253164,4091.494668058267,98.59651898734177,4001.63664689263,98.89113924050633,4064.4460961014206,98.72006329113924
3,3971.4232698976207,98.6123417721519,4122.405972274189,98.13101265822785,3951.7898605740975,98.49208860759494,3979.1483091078485,98.76012658227847,3988.316415330866,98.61803797468355,4002.6167654369247,98.52272151898734
4,3899.693637485817,98.9256329113924,3945.353786428926,98.59082278481013,3951.7898605740975,98.92025316455697,3823.2896218455635,98.73575949367088,3986.1881001456536,98.99620253164557,3921.2630012960117,98.83373417721519
5,3878.288269399942,98.69651898734178,3886.1856801918416,98.82974683544303,3843.9284134665086,98.85063291139241,3737.0879149029233,98.85506329113925,3986.1881001456536,98.8240506329114,3866.335675621374,98.81120253164556
6,3849.138643964853,98.76677215189873,3886.1856801918416,98.96107594936709,3843.9284134665086,98.7,3646.5753329677254,98.68196202531645,3874.373770033899,98.89335443037974,3820.040368124965,98.8006329113924
7,3797.7545658761173,98.72974683544304,3886.1856801918416,98.52784810126582,3843.9099525820734,98.89746835443037,3646.5753329677254,98.87278481012659,3869.639024039518,98.78291139240507,3808.8129111314556,98.76215189873417
8,3793.691398032279,98.67215189873417,3823.494556322244,98.97025316455696,3843.9099525820734,98.58196202531646,3568.2314740390825,98.8009493670886,3869.639024039518,98.6876582278481,3779.7932810030397,98.74259493670885
9,3761.225136068706,98.67056962025316,3803.2834269531863,98.7136075949367,3837.588206894167,98.78037974683544,3568.2314740390825,99.02943037974684,3759.9781947465885,98.92151898734177,3746.061287740346,98.82310126582277
10,3755.383666189968,98.81772151898734,3803.2834269531863,98.7993670886076,3792.778263441114,98.87594936708861,3548.6840535635943,98.95348101265823,3759.648066245286,98.84462025316456,3731.9554952786298,98.85822784810128
11,3726.8930038482104,98.83481012658228,3730.6601007407044,98.91613924050633,3792.778263441114,98.86708860759494,3454.68608177958,98.45886075949367,3732.7526939143345,98.70253164556962,3687.554028744789,98.75588607594936
12,3713.8375293521476,98.37753164556962,3730.6601007407044,98.57246835443038,3725.1678683458963,98.03101265822785,3454.68608177958,98.84018987341773,3732.7526939143345,98.91518987341772,3671.420854826533,98.54727848101265
13,3693.6343182977275,96.62215189873417,3716.388791366251,98.78037974683544,3725.1678683458963,98.28291139240507,3454.68608177958,98.8262658227848,3711.5191612994236,98.91392405063291,3660.2792442177756,98.28512658227848
14,3693.6343182977275,98.84746835443038,3659.613883042959,98.84177215189874,3663.519537173262,98.94556962025317,3385.0302503963694,98.63006329113924,3567.994200541211,98.34208860759493,3593.9584378903064,98.72139240506327
15,3693.6343182977275,98.15601265822785,3659.613883042959,98.86392405063292,3553.7141124752425,98.60537974683544,3385.0302503963694,98.79462025316455,3567.994200541211,98.89018987341773,3571.997352950702,98.6620253164557
16,3630.524162234939,98.54905063291139,3659.613883042959,98.94588607594936,3513.171358573085,98.81962025316456,3385.0302503963694,98.58037974683545,3567.994200541211,98.74905063291139,3551.266770957713,98.72879746835443
17,3630.524162234939,98.79177215189874,3659.613883042959,98.97658227848102,3503.0140661938613,98.73797468354431,3372.915964481817,98.99810126582278,3515.064897658112,98.37310126582278,3536.2265947223373,98.77550632911394
18,3630.524162234939,98.74177215189873,3659.613883042959,98.74683544303798,3474.4709468680885,98.69778481012658,3372.915964481817,98.99525316455696,3513.6907798518855,98.34841772151898,3530.2431472959374,98.70601265822783
19,3628.7165403673484,98.25949367088607,3659.613883042959,98.99683544303798,3474.4709468680885,98.8503164556962,3372.915964481817,98.85696202531645,3469.669431810842,98.94430379746835,3521.0773533142115,98.78158227848101
20,3569.0035334851914,98.34018987341773,3659.613883042959,98.72943037974683,3474.4709468680885,98.775,3371.1869760338805,98.85253164556963,3469.669431810842,98.67816455696203,3508.788954248192,98.67506329113924
21,3569.0035334851914,98.75221518987341,3602.364312230257,98.4506329113924,3453.813263396885,98.91170886075949,3355.9322388429923,98.84810126582279,3469.669431810842,98.82310126582279,3490.1565559532332,98.75715189873418
22,3569.0035334851914,98.87151898734177,3602.364312230257,98.6746835443038,3437.8691162585924,98.77088607594936,3355.9322388429923,98.39651898734178,3463.377818260073,98.04398734177215,3485.709403815421,98.55151898734178
23,3526.168187550173,98.0753164556962,3540.0146527073816,98.90348101265823,3437.8691162585924,98.63987341772152,3324.0407915678848,98.75727848101266,3463.377818260073,98.88607594936708,3458.294113268821,98.65240506329114
24,3526.168187550173,98.80632911392405,3497.863424432582,98.28987341772152,3437.8691162585924,98.42278481012659,3324.0407915678848,98.98101265822785,3458.8728070610046,98.73291139240506,3448.9628653740474,98.64658227848102
25,3526.168187550173,98.85411392405064,3468.223020902687,98.9870253164557,3404.154582310887,98.78132911392404,3324.0407915678848,98.20158227848101,3435.8583065383045,98.83196202531646,3431.6889777739866,98.73120253164555
26,3526.168187550173,98.9120253164557,3468.223020902687,98.64715189873418,3390.8073989398604,97.94746835443038,3292.2505809069607,98.39430379746835,3435.8583065383045,98.9370253164557,3422.6614989675973,98.56759493670886
27,3526.168187550173,98.02310126582279,3468.223020902686,98.8,3375.465233068105,98.83132911392406,3292.2505809069607,98.70158227848101,3435.8583065383045,98.83955696202531,3419.5930657932463,98.63911392405063
28,3526.168187550173,98.01075949367089,3387.3248536431624,98.94525316455696,3375.465233068105,98.85253164556963,3292.2505809069607,98.92911392405064,3411.096450834007,98.64335443037974,3398.4610612004813,98.67620253164557
29,3526.168187550173,98.88037974683544,3387.3248536431624,98.46170886075949,3375.465233068105,98.70284810126583,3292.2505809069607,98.57816455696202,3411.096450834007,98.82373417721519,3398.4610612004813,98.68936708860758
30,3526.168187550173,98.89746835443037,3387.3248536431624,98.37658227848101,3375.465233068105,98.9373417721519,3292.2505809069607,98.92151898734177,3411.096450834007,98.90854430379747,3398.4610612004813,98.80829113924051
31,3526.168187550173,98.98291139240506,3294.183568559369,98.91740506329114,3375.465233068105,98.91107594936709,3292.2505809069603,98.96772151898735,3364.6707969416716,98.75316455696202,3370.547673405256,98.90645569620253
32,3526.168187550173,98.85854430379747,3287.8939026135217,98.60221518987342,3375.3981083246167,98.7,3270.520386997984,98.63386075949367,3364.6707969416716,98.93544303797468,3364.930276485594,98.74601265822784
33,3488.8969717682157,98.92183544303798,3287.89390261352,98.76993670886075,3375.3981083246167,98.79841772151899,3270.520386997984,98.59082278481013,3364.6707969416716,98.56518987341772,3357.476033329201,98.72924050632912
34,3442.5129346691388,98.90791139240507,3287.89390261352,98.79778481012659,3375.3981083246167,98.75601265822785,3245.295527357279,98.78291139240507,3364.6707969416716,98.81139240506329,3343.154253981245,98.81120253164559
35,3442.5129346691388,98.89873417721519,3287.89390261352,98.80791139240506,3367.0457325411076,98.8129746835443,3240.6556658716213,98.9370253164557,3364.6707969416716,98.69778481012658,3340.5558065274117,98.83088607594937
36,3442.5129346691388,98.95981012658228,3287.89390261352,98.24651898734177,3367.0457325411076,98.61139240506328,3240.6556658716213,98.61297468354431,3364.6707969416716,98.71582278481013,3340.5558065274117,98.62930379746835
37,3437.162310426454,98.87879746835443,3287.89390261352,98.91170886075949,3328.9275538809143,98.58037974683545,3217.3265217937565,98.11867088607595,3364.6707969416716,98.9623417721519,3327.1962171312634,98.69037974683545
38,3425.575947149392,98.78417721518987,3287.89390261352,98.95664556962025,3328.9275538809143,98.64810126582279,3217.3265217937565,99.01360759493672,3352.7568377760417,98.81012658227849,3322.496152642725,98.84253164556962
39,3425.575947149392,98.87531645569621,3287.89390261352,98.85348101265822,3328.9275538809143,98.92310126582278,3217.3265217937565,98.7506329113924,3346.5299083310088,98.56677215189873,3321.2507667537184,98.79386075949367
40,3425.575947149392,98.175,3287.89390261352,98.8743670886076,3328.9275538809143,98.78449367088608,3217.3265217937565,98.94715189873418,3346.5299083310088,98.95759493670886,3321.2507667537184,98.74772151898733
41,3373.652121589207,98.79335443037975,3287.89390261352,98.87943037974684,3306.1116839773476,98.36930379746835,3217.3265217937565,98.89873417721519,3346.5299083310088,98.91930379746836,3306.302827660968,98.77202531645568
42,3373.652121589207,98.9373417721519,3254.37839727331,98.94462025316456,3279.830541763904,98.62088607594937,3217.3265217937565,98.37658227848101,3337.5350642289077,98.55126582278481,3292.544529329817,98.68613924050632
43,3373.652121589207,98.84588607594937,3254.37839727331,98.73987341772153,3210.7183238886096,98.10474683544304,3217.3265217937565,98.42816455696203,3272.1127242111497,98.65854430379747,3265.6376177512066,98.5554430379747
44,3373.652121589207,98.81835443037974,3254.37839727331,98.09240506329114,3210.7183238886096,98.70443037974684,3217.3265217937565,98.67816455696203,3272.1127242111497,99.00506329113924,3265.6376177512066,98.65968354430379
45,3373.652121589207,98.96613924050632,3232.4883985518863,98.45253164556962,3208.4085032905327,98.93227848101266,3215.696170342523,98.64208860759494,3272.1127242111497,98.33924050632912,3260.47158359706,98.66645569620253
46,3373.652121589207,98.92974683544304,3232.4883985518863,98.86360759493671,3208.4085032905327,98.77626582278481,3215.696170342523,98.83322784810126,3272.1127242111497,98.9613924050633,3260.47158359706,98.87284810126582
47,3373.652121589207,98.87056962025316,3232.4883985518863,98.99018987341772,3208.4085032905327,98.4123417721519,3215.696170342523,98.81867088607595,3272.1127242111497,98.97215189873418,3260.47158359706,98.81278481012659
48,3373.652121589207,98.44715189873418,3232.4883985518863,98.96329113924051,3208.4085032905327,98.20506329113924,3215.6961703425227,98.41329113924051,3272.1127242111497,98.85379746835443,3260.471583597059,98.57651898734177
49,3357.6696095418934,98.61360759493671,3230.68709621836,98.57278481012658,3201.362264136964,98.7012658227848,3215.6961703425227,98.93512658227849,3214.876019982864,98.65,3244.058232044521,98.6945569620253
50,3357.669609541892,98.82848101265823,3230.68709621836,98.60537974683544,3200.812627932052,98.66455696202532,3215.6961703425227,98.46993670886076,3214.876019982864,98.54398734177215,3243.9483048035377,98.62246835443037
51,3357.669609541892,98.86518987341772,3220.061037663291,98.42341772151899,3200.812627932052,98.87974683544304,3215.6961703425227,98.94462025316456,3214.876019982864,98.81993670886077,3241.823093092524,98.786582278481
52,3357.669609541892,98.55791139240506,3220.061037663291,98.72689873417721,3200.812627932052,98.86487341772153,3215.6961703425227,98.9626582278481,3214.876019982864,97.82879746835442,3241.823093092524,98.58822784810127
53,3357.669609541892,98.6879746835443,3220.0610376632894,98.9870253164557,3200.812627932052,98.9370253164557,3215.6961703425227,98.85158227848102,3165.005280500165,98.9389240506329,3231.848945195984,98.88050632911394
54,3357.6696095418915,98.93512658227849,3220.061037663289,98.34462025316456,3200.812627932052,98.95316455696202,3215.6961703425227,98.20791139240507,3165.005280500165,98.97658227848102,3231.848945195984,98.68348101265823
55,3308.040328845551,98.85632911392405,3220.061037663289,98.94335443037974,3200.812627932052,98.60221518987342,3215.6961703425227,98.66867088607594,3165.005280500165,98.94462025316456,3221.9230890567155,98.80303797468352
56,3249.292085035724,98.5129746835443,3220.061037663289,98.6503164556962,3200.812627932052,98.87974683544304,3215.6961703425227,98.65506329113924,3165.005280500165,98.82848101265823,3210.1734402947504,98.7053164556962
57,3249.292085035724,98.87721518987341,3220.061037663289,98.80126582278481,3200.812627932052,98.84525316455696,3213.2059039726823,98.65569620253164,3165.005280500165,98.9003164556962,3209.675387020782,98.8159493670886
58,3249.292085035724,98.448417721519,3220.061037663289,98.88575949367089,3200.812627932052,99.02658227848102,3213.2059039726823,98.62531645569621,3165.005280500165,98.91518987341772,3209.675387020782,98.78025316455697
59,3249.292085035724,98.96075949367089,3200.9418853415727,98.8379746835443,3200.812627932052,98.46930379746836,3213.2059039726823,98.76677215189873,3165.005280500165,98.59525316455696,3205.8515565564394,98.72601265822784
60,3241.9993224381074,98.8496835443038,3200.9418853415727,98.54303797468354,3200.812627932052,98.60791139240506,3213.2059039726823,97.90854430379747,3165.005280500165,98.84620253164557,3204.393004036916,98.55107594936709
61,3241.9993224381074,98.84493670886076,3200.9418853415727,98.676582278481,3200.812627932052,98.20886075949367,3213.2059039726823,98.65917721518987,3165.005280500165,98.91740506329114,3204.393004036916,98.6613924050633
62,3241.9993224381074,98.86170886075949,3200.9418853415727,98.35886075949367,3200.812627932052,98.75348101265823,3213.2059039726823,98.84050632911392,3165.005280500165,98.84398734177215,3204.393004036916,98.73170886075948
63,3241.9993224381074,98.95632911392406,3200.9418853415727,98.43639240506329,3200.812627932052,98.89430379746835,3213.2059039726823,98.68196202531645,3165.005280500165,98.70822784810126,3204.393004036916,98.73544303797469
64,3241.9993224381074,98.25569620253165,3200.9418853415727,98.54525316455697,3200.812627932052,98.89462025316456,3213.2059039726823,98.77658227848102,3165.005280500165,98.90474683544304,3204.393004036916,98.67537974683543
65,3241.9993224381074,98.45537974683545,3200.9418853415727,98.39145569620253,3200.812627932052,98.66867088607594,3213.2059039726823,98.86677215189873,3165.005280500165,98.6990506329114,3204.393004036916,98.61626582278481
66,3241.9993224381074,98.88607594936708,3199.4361359603477,98.74145569620254,3200.812627932052,98.5379746835443,3213.2059039726823,98.9753164556962,3165.005280500165,98.00791139240506,3204.0918541606707,98.62974683544303
67,3241.9993224381074,98.97816455696203,3199.4361359603477,98.88449367088607,3194.8621620805875,98.2623417721519,3212.149200935249,98.90126582278481,3165.005280500165,98.87943037974684,3202.6904203828917,98.78113924050633
68,3241.9993224381074,98.87405063291139,3199.4361359603477,98.84367088607596,3194.8621620805875,98.97911392405064,3212.149200935249,98.8623417721519,3163.252474350804,98.62025316455696,3202.3398591530195,98.83588607594936
69,3241.9993224381074,98.80443037974683,3199.4361359603477,98.9129746835443,3175.5909373102895,98.95917721518987,3212.149200935249,98.42310126582278,3163.252474350804,98.74715189873417,3198.4856141989594,98.7693670886076
70,3241.9993224381074,98.74303797468355,3154.60236716678,98.86993670886076,3175.5909373102895,98.85411392405064,3181.026523892916,98.62215189873417,3163.252474350804,98.81424050632911,3183.2943250317794,98.78069620253164
71,3172.955348597992,98.79082278481013,3154.60236716678,98.83354430379747,3175.5909373102895,98.8240506329114,3181.026523892916,98.78291139240507,3163.252474350804,98.63417721518988,3169.485530263756,98.77310126582279
72,3172.955348597992,98.97341772151898,3154.60236716678,98.68164556962026,3175.5909373102895,98.9389240506329,3181.026523892916,98.79240506329114,3163.252474350804,98.49240506329114,3169.485530263756,98.77575949367089
73,3172.955348597992,98.9626582278481,3127.103002395991,98.91107594936709,3175.5909373102895,98.8253164556962,3181.026523892916,98.95284810126583,3163.252474350804,98.9759493670886,3163.985657309598,98.92556962025317
74,3172.955348597992,98.92183544303798,3127.103002395991,98.97405063291139,3175.5909373102895,98.73006329113925,3181.026523892916,98.48544303797469,3163.252474350804,98.20727848101266,3163.985657309598,98.66373417721519
75,3172.955348597992,98.73386075949367,3127.103002395991,98.90981012658227,3175.5909373102895,98.93860759493671,3181.026523892916,96.96518987341773,3163.252474350804,98.85537974683544,3163.985657309598,98.48056962025316
76,3172.955348597992,98.9006329113924,3127.103002395991,98.75,3175.5909373102895,98.83006329113924,3181.026523892916,98.57911392405063,3163.252474350804,98.35917721518987,3163.985657309598,98.68379746835444
77,3172.110276570293,98.68259493670887,3127.103002395991,98.84841772151898,3175.5909373102895,98.89715189873418,3181.026523892916,98.56012658227849,3163.252474350804,98.36645569620254,3163.816642904059,98.67094936708861
78,3172.110276570293,98.95791139240507,3127.103002395991,98.98227848101266,3173.105718297628,98.77594936708861,3181.026523892916,98.9120253164557,3163.252474350804,98.0620253164557,3163.3195991015264,98.73803797468354
79,3172.110276570293,98.9503164556962,3127.103002395991,97.85284810126582,3173.105718297628,98.90632911392404,3181.026523892916,98.98987341772153,3163.252474350804,99.01740506329114,3163.3195991015264,98.74335443037975
80,3172.110276570293,98.96518987341773,3127.103002395991,98.05443037974683,3145.989615872606,99.01424050632912,3181.026523892916,98.70443037974684,3163.252474350804,98.83575949367089,3157.8963786165223,98.71481012658228
