generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,3751.7822884820876,97.72373417721519,3735.879109937975,97.52848101265823,3879.2873101829396,97.18924050632911,3737.6279663216155,98.22658227848102,3661.064569734193,97.16012658227848,3753.1282489317623,97.56563291139241
2,3350.0705063755754,92.82848101265823,3428.0599631181467,94.1503164556962,3554.165009732348,96.87974683544304,3412.5693266288417,97.03196202531646,3490.324488285348,95.72025316455696,3447.0378588280523,95.32215189873418
3,3118.748195674013,94.875,3175.537446809777,92.85253164556963,3269.0866050743502,96.06487341772151,3156.9698172274593,95.19462025316456,3274.4341174630435,89.80379746835443,3198.9552364497285,93.75816455696203
4,2991.7216616182677,94.99240506329114,3018.3322527001847,95.71930379746836,3004.822233659523,94.04398734177215,3047.8367875180766,93.25253164556962,3139.700549176081,85.83322784810126,3040.4826969344267,92.76829113924052
5,2848.398731347125,90.32848101265823,2800.5710424896915,94.79240506329114,2591.9921806798084,92.78955696202532,2850.8981833766925,84.94493670886077,3095.438620785174,81.42848101265822,2837.4597517356983,88.85677215189874
6,2747.2893430069303,89.1759493670886,2792.016747688445,93.98449367088608,2591.9921806798084,85.66075949367088,2777.03407233551,80.58829113924051,3072.6442282291046,77.17943037974683,2796.1953143879596,85.31778481012657
7,2537.541015666005,87.74430379746835,2548.0118420692934,89.69177215189873,2591.9921806798084,74.88196202531645,2664.480128080923,74.47721518987342,3003.526707546075,68.18449367088607,2669.1103748084206,78.9959493670886
8,2485.3797140205434,84.38386075949367,2548.0118420692934,86.68987341772151,2591.9921806798084,68.64335443037974,2652.3590304456543,67.5886075949367,2824.101411945078,71.3990506329114,2620.368835832075,75.7409493670886
9,2485.3797140205434,74.82879746835442,2523.775525689334,84.87594936708861,2591.9921806798084,71.25158227848101,2575.322869966631,72.2376582278481,2824.101411945078,69.6737341772152,2600.1143404602785,74.57354430379746
10,2485.3797140205434,60.67753164556962,2523.775525689334,84.42753164556962,2591.9921806798084,61.197784810126585,2575.322869966631,65.7376582278481,2824.101411945078,64.46803797468354,2600.1143404602785,67.30170886075948
11,2409.5927248542803,64.83449367088608,2523.775525689334,84.26392405063291,2589.4641544295264,61.20474683544304,2575.322869966631,63.77151898734177,2780.5403491361226,73.71455696202531,2575.739124815179,69.55784810126582
12,2385.4693552010876,75.11297468354431,2523.775525689334,81.37531645569621,2589.4641544295264,82.35158227848102,2566.617140794615,67.55189873417721,2670.510008024387,72.20443037974684,2547.1672368277896,75.71924050632911
13,2370.8429449081927,73.5993670886076,2523.775525689334,77.91677215189874,2589.4641544295264,80.4743670886076,2551.4935550645177,74.00791139240506,2646.793419381075,79.25316455696202,2536.4739198945294,77.0503164556962
14,2369.290461946458,62.542088607594934,2523.775525689334,79.1620253164557,2589.4641544295264,79.41424050632911,2539.74416486746,77.57848101265823,2646.793419381075,71.78829113924051,2533.8135452627707,74.0970253164557
15,2369.290461946458,66.8129746835443,2523.775525689334,76.09556962025316,2580.4858928313893,82.76582278481013,2539.74416486746,77.54810126582278,2619.898353388585,72.06898734177216,2526.6388797446452,75.05829113924051
16,2369.290461946458,73.00284810126583,2523.775525689334,79.55696202531645,2580.4858928313893,85.19208860759494,2539.74416486746,75.91898734177215,2580.8682732180014,64.70379746835442,2518.8328637105283,75.67493670886077
17,2369.290461946458,75.83607594936709,2523.775525689334,74.74367088607595,2580.4858928313893,85.46170886075949,2539.74416486746,72.22183544303797,2563.2278148466025,66.23892405063292,2515.304772036249,74.90044303797467
18,2368.2729382927946,67.25917721518988,2523.775525689334,70.6132911392405,2580.4858928313893,83.37183544303798,2539.74416486746,66.05253164556962,2535.0380838695232,64.02879746835443,2509.4633211101,70.26512658227848
19,2368.2729382927946,54.58101265822785,2523.775525689334,68.48955696202532,2580.4858928313893,82.44810126582279,2539.74416486746,66.04810126582278,2535.0380838695232,64.60411392405064,2509.4633211101,67.23417721518987
