generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,67392.16433916388,160.0390804597701,67487.92817987579,160.0390804597701,67105.20083975242,160.0344827586207,67018.03520719858,160.10574712643677,67408.72441130539,160.04367816091954,67282.41059545921,160.05241379310343
2,59886.625034353354,159.89885057471264,60468.69132920614,159.98850574712642,60232.61686394369,159.95862068965516,60490.75614498897,159.95402298850576,58865.24964268076,159.53103448275863,59988.787803034575,159.86620689655172
3,54117.12072388289,159.93563218390804,53525.73937815173,159.99080459770116,55138.613462967594,159.54252873563217,53405.31327313693,159.94712643678162,54645.35333640814,159.7632183908046,54166.428034909455,159.8358620689655
4,50077.60537051419,159.95862068965516,53105.64931020278,159.8528735632184,51931.18594698028,159.9655172413793,50421.957826460406,159.37471264367815,51863.34963950567,159.87586206896552,51479.94961873266,159.8055172413793
5,48785.766975232684,159.80919540229885,49882.09009003074,159.87816091954022,47011.63179152404,159.79310344827587,46577.3253559438,159.82758620689654,48718.91941068056,159.86206896551724,48195.14672468237,159.83402298850575
6,45764.88734349777,159.87586206896552,45134.08663418103,159.94022988505748,46863.196842373036,159.8367816091954,43738.4362899354,159.7793103448276,44836.48809818875,159.74022988505746,45267.41904163519,159.8344827586207
7,44633.61867450862,159.82988505747127,43641.64809069349,159.68735632183908,44057.411381765654,159.86206896551724,42718.056050576924,159.80919540229885,43532.22519301012,159.88275862068966,43716.591878110965,159.81425287356322
8,41511.49035092522,159.4896551724138,43266.720237752605,159.7103448275862,43076.73431121616,159.8,41844.032770450605,159.21149425287356,41655.57849045621,159.39310344827587,42270.91123216016,159.52091954022987
9,41511.49035092522,159.82528735632184,40849.44057542227,159.81149425287356,41932.6124896361,159.81149425287356,41302.17498144929,159.84137931034482,39837.77177724892,159.4551724137931,41086.69803493636,159.74896551724137
10,38171.77762817697,159.80919540229885,40215.78873907657,159.71494252873563,40850.03677964592,159.60459770114943,39608.58144069292,159.75862068965517,38091.78933038574,159.68505747126437,39387.594783595625,159.7144827586207
11,38171.77762817697,159.53103448275863,36744.40922301197,159.8183908045977,38797.97511456619,159.45747126436783,38139.09168738234,159.6,38091.78933038574,159.64367816091954,37989.00859670465,159.61011494252872
12,38132.367453232175,159.2942528735632,36744.40922301197,159.0,38581.76329722901,158.96781609195403,37125.88837485761,159.20919540229886,36042.17418259776,159.6551724137931,37325.3205061857,159.22528735632184
13,37173.37801598261,159.61149425287357,36744.40922301197,159.17241379310346,37315.41953367923,159.45977011494253,34780.434011799814,158.97701149425288,36042.17418259776,158.2942528735632,36411.16299341428,159.10298850574713
14,35317.536098093056,159.48275862068965,36673.65958356347,158.99540229885056,36453.94118843098,158.89655172413794,34780.434011799814,159.1425287356322,35647.13638541633,159.05747126436782,35774.54145346073,159.1149425287356
15,35317.536098093056,159.3655172413793,36673.65958356347,159.20689655172413,36453.94118843098,159.12413793103448,34780.434011799814,159.6712643678161,35647.13638541633,158.93103448275863,35774.54145346073,159.25977011494254
16,35048.639674993356,159.07816091954024,34441.339012728036,159.68735632183908,35534.52053922367,159.18620689655174,34780.434011799814,159.57931034482758,33807.5454867619,158.86896551724138,34722.495745101354,159.28
17,33935.63817894334,158.98850574712642,34441.339012728036,159.54252873563217,35329.04336768077,158.95632183908046,34780.434011799814,159.25977011494254,33041.765264356036,158.367816091954,34305.6439671016,159.02298850574712
