generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,33165.62593221597,150.73333333333332,32530.35199010223,150.0888888888889,32926.89583472127,150.64444444444445,32522.291183317004,150.57777777777778,32883.325770944735,150.11111111111111,32805.69814226024,150.4311111111111
2,31710.771101640872,150.73333333333332,32054.937658985906,150.0888888888889,32288.650404823708,150.64444444444445,31957.277175636267,150.57777777777778,32883.325770944735,150.11111111111111,32178.992422406292,150.4311111111111
3,31710.771101640872,150.73333333333332,31370.746165134522,150.0888888888889,32288.650404823708,150.64444444444445,31361.32776850312,150.57777777777778,31925.792165158855,150.11111111111111,31731.457521052216,150.4311111111111
4,30560.126184553013,150.73333333333332,31370.746165134522,150.0888888888889,30690.123744571745,150.64444444444445,30534.994805630722,150.57777777777778,30847.58358839222,150.11111111111111,30800.714897656442,150.4311111111111
5,30375.220716339776,150.73333333333332,30848.27176389513,150.0888888888889,30690.123744571745,150.64444444444445,30534.994805630722,150.57777777777778,30643.632406874367,150.11111111111111,30618.448687462347,150.4311111111111
6,30375.220716339776,150.6,30440.910079492896,150.35555555555555,30651.153401211282,149.84444444444443,29970.829235366626,150.26666666666668,30643.632406874367,150.46666666666667,30416.349167856988,150.30666666666667
7,29019.271909845444,150.6,30440.910079492896,150.35555555555555,29044.06566198824,149.84444444444443,29970.829235366626,150.26666666666668,30433.624451883912,150.46666666666667,29781.740267715424,150.30666666666667
8,29019.271909845444,150.6,29811.910519296267,150.35555555555555,29044.06566198824,149.84444444444443,29970.829235366626,150.26666666666668,29777.219693408533,150.46666666666667,29524.65940398102,150.30666666666667
9,29019.271909845444,150.6,29548.364269603066,150.35555555555555,29044.06566198824,149.84444444444443,29270.897788714767,150.26666666666668,29777.219693408533,150.46666666666667,29331.96386471201,150.30666666666667
10,28710.76459292759,150.6,29208.487279490044,150.35555555555555,28674.04146444472,149.84444444444443,28397.595951419335,150.26666666666668,28892.40945840738,150.46666666666667,28776.659749337814,150.30666666666667
11,28710.76459292759,150.26666666666668,29208.487279490044,150.2,28674.04146444472,150.53333333333333,28397.595951419335,150.22222222222223,28892.40945840738,149.15555555555557,28776.659749337814,150.07555555555555
12,28710.76459292759,150.26666666666668,28590.71279771722,150.2,28674.04146444472,150.53333333333333,28397.595951419335,150.22222222222223,28892.40945840738,149.15555555555557,28653.10485298325,150.07555555555555
13,28710.76459292759,150.26666666666668,28590.71279771722,150.2,28674.04146444472,150.53333333333333,28133.89268659295,150.22222222222223,28892.40945840738,149.15555555555557,28600.364200017975,150.07555555555555
14,28710.76459292759,150.26666666666668,28590.71279771722,150.2,28674.04146444472,150.53333333333333,28133.89268659295,150.22222222222223,28892.40945840738,149.15555555555557,28600.364200017975,150.07555555555555
15,28710.76459292759,150.26666666666668,28590.71279771722,150.2,28674.04146444472,150.53333333333333,28133.89268659295,150.22222222222223,28892.40945840738,149.15555555555557,28600.364200017975,150.07555555555555
16,28311.706068182546,150.2,28351.519829294288,149.6888888888889,28674.04146444472,150.24444444444444,28133.89268659295,150.33333333333334,28892.40945840738,150.4,28472.713901384377,150.17333333333335
17,28180.293739368033,150.2,27908.376572647805,149.6888888888889,28674.04146444472,150.24444444444444,28133.89268659295,150.33333333333334,27760.282173811578,150.4,28131.37732737302,150.17333333333335
