generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,191375.40963837368,355.55555555555554,191354.44106329215,355.8888888888889,190703.40849255666,354.64444444444445,188796.6247815106,354.26666666666665,191536.56917719307,355.6,190753.29063058522,355.1911111111111
2,190213.9170347551,355.02222222222224,189515.1522090086,352.55555555555554,189474.68879565783,344.31111111111113,187722.79532798266,352.84444444444443,188741.90927708056,349.46666666666664,189133.69252889694,350.84000000000003
3,186844.51661923548,326.44444444444446,185494.59442118768,347.55555555555554,186781.78525922226,353.02222222222224,185610.2168114566,346.64444444444445,185166.34331484258,348.3333333333333,185979.4912851889,344.4
4,187256.52850394064,347.8888888888889,183796.53193315203,349.64444444444445,183840.5454416785,322.0444444444444,184425.38893918676,344.4,185152.36030980235,341.53333333333336,184894.27102555207,341.10222222222217
5,186471.76939552248,330.2,184315.83698257394,348.2888888888889,181157.4504295253,333.75555555555553,182997.11699806174,284.7111111111111,184165.6908840026,336.46666666666664,183821.57293793722,326.6844444444444
6,182826.83991080336,316.7111111111111,183637.06388762846,327.8222222222222,180809.67612986016,293.31111111111113,182930.07846538373,289.8,180851.00805595695,271.4888888888889,182210.93328992653,299.82666666666665
7,182972.48728984746,277.2,181673.76625161883,238.35555555555555,181016.43249425344,294.53333333333336,182369.07478852148,236.9111111111111,177783.78696194917,303.0444444444444,181163.1095572381,270.0088888888889
8,183612.97293646232,286.5777777777778,180986.55509972165,233.82222222222222,180682.82556453967,213.6888888888889,181105.97306292944,203.82222222222222,176095.1583044516,304.26666666666665,180496.69699362095,248.43555555555554
9,181904.9787518908,280.84444444444443,179939.62362397913,247.48888888888888,180175.72294202313,235.26666666666668,180300.73512353929,263.2,175952.6631009118,297.1333333333333,179654.74470846882,264.7866666666667
10,181767.45587074876,266.55555555555554,179390.0527726369,204.15555555555557,178243.2835951845,215.9111111111111,179708.8885893962,277.93333333333334,173882.0629925294,271.0,178598.34876409915,247.11111111111114
11,181387.6364806841,289.0444444444444,178781.0591155639,238.0222222222222,178096.64238913564,235.42222222222222,179092.59174869407,269.4222222222222,173053.30607475413,253.37777777777777,178082.24716176637,257.05777777777774
12,181408.74738120125,230.55555555555554,177304.3263215978,225.84444444444443,177702.9412432878,242.77777777777777,177286.45440557314,277.75555555555553,171928.74243295958,279.6666666666667,177126.24235692393,251.32
13,177624.7905649595,250.15555555555557,177282.60702415623,226.13333333333333,177250.05108795763,206.75555555555556,176949.92371692456,269.06666666666666,169519.79125603,247.22222222222223,175725.43273000556,239.86666666666665
14,176276.82086018918,271.9111111111111,177308.09225286546,169.48888888888888,176152.50934932227,231.7111111111111,176182.17108557475,260.77777777777777,169034.29449514093,167.06666666666666,174990.77760861852,220.1911111111111
15,176589.64978238757,267.31111111111113,177213.81449868696,193.66666666666666,176184.8927284678,245.64444444444445,175135.56578349893,259.77777777777777,168880.22982065784,215.6888888888889,174800.83052273982,236.4177777777778
