generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,59012.69326941657,187.22721518987342,58642.37460179365,187.33291139240507,58906.89134151491,187.32246835443038,54867.942598795904,187.3240506329114,57888.53018801958,187.19525316455696,57863.68639990812,187.28037974683542
2,58566.240708939855,186.87689873417722,57736.391953700026,186.96613924050632,57036.69638925901,186.66518987341772,54867.942598795904,186.88512658227847,57888.53018801958,186.94050632911393,57219.160367742865,186.86677215189874
3,58566.240708939855,186.08481012658228,57736.391953700026,186.55253164556962,57036.69638925901,186.04272151898735,54867.942598795904,186.6253164556962,55751.70494600583,186.2145569620253,56791.79531934012,186.30398734177214
4,58061.806508543246,185.73069620253165,57736.391953700026,185.92974683544304,57036.69638925901,185.20569620253164,54867.942598795904,186.32626582278482,55751.70494600583,185.87689873417722,56690.908479260805,185.81386075949365
5,57882.18260095691,184.16930379746836,56911.22247955328,185.65949367088606,57036.69638925901,184.45949367088608,54867.942598795904,185.99240506329113,55311.0649409742,185.5974683544304,56401.82180190786,185.1756329113924
6,57882.18260095691,184.84018987341773,56387.367366529164,186.123417721519,57036.69638925901,184.4632911392405,54867.942598795904,185.38291139240508,55252.13665878379,184.77974683544304,56285.265122864956,185.11791139240506
7,57211.43033009565,185.1221518987342,56387.367366529164,185.28354430379747,56686.81972283979,184.623417721519,54867.942598795904,185.65443037974683,55252.13665878379,184.0009493670886,56081.139335408865,184.9368987341772
8,57211.43033009565,185.16708860759493,56387.367366529164,184.50379746835443,56686.81972283979,185.0623417721519,54867.942598795904,185.38291139240508,55252.13665878379,183.47974683544305,56081.139335408865,184.71917721518986
9,57211.43033009565,185.74556962025318,53781.24693730929,184.7142405063291,56686.81972283979,185.3129746835443,54867.942598795904,185.4743670886076,55252.13665878379,184.17658227848102,55559.91524956488,185.08474683544304
10,57211.43033009565,184.9623417721519,53022.97458193882,185.21645569620253,56645.588180182676,185.10601265822785,54867.942598795904,185.80664556962026,55252.13665878379,183.83037974683543,55400.014469959366,184.9843670886076
11,57211.43033009565,184.95443037974684,53022.97458193882,183.78449367088606,56645.588180182676,184.63386075949367,54867.942598795904,185.6636075949367,55252.13665878379,183.82183544303797,55400.014469959366,184.57164556962024
12,57211.43033009565,184.77974683544304,53022.97458193882,184.70443037974684,56566.18941759872,185.27215189873417,54867.942598795904,185.40981012658227,55252.13665878379,184.34145569620253,55384.134717442575,184.90151898734175
13,57211.43033009565,184.02943037974683,53022.97458193882,184.21930379746834,56566.18941759872,184.65664556962025,54867.942598795904,185.53101265822784,55252.13665878379,184.01550632911392,55384.134717442575,184.49037974683546
14,57211.43033009565,184.50791139240508,53022.97458193882,184.86044303797468,56566.18941759872,184.0974683544304,54867.942598795904,185.82215189873418,55252.13665878379,184.58037974683543,55384.134717442575,184.77367088607596
15,56554.80627971049,184.8746835443038,53022.97458193882,184.46044303797467,55923.92262341477,184.0768987341772,54867.942598795904,185.64113924050633,55252.13665878379,184.10759493670886,55124.356548528755,184.63215189873418
16,56554.80627971049,184.2113924050633,53022.97458193882,184.71898734177216,55923.92262341477,184.15379746835444,54867.942598795904,185.64651898734178,55252.13665878379,184.33575949367088,55124.356548528755,184.61329113924052
17,56511.514146174806,184.71360759493672,53022.97458193882,184.10632911392406,55923.92262341477,184.5275316455696,54867.942598795904,185.12056962025318,55252.13665878379,183.72848101265822,55115.69812182161,184.43930379746834
18,56511.514146174806,184.90664556962025,53022.97458193882,184.2607594936709,55923.92262341477,184.15664556962025,54867.942598795904,182.54493670886075,55252.13665878379,184.62563291139242,55115.69812182161,184.09892405063292
19,56511.514146174806,185.06708860759494,53022.97458193882,183.3987341772152,55923.92262341477,184.34620253164556,54867.942598795904,182.00379746835443,55252.13665878379,184.58196202531644,55115.69812182161,183.8795569620253
20,56511.514146174806,184.94240506329115,53022.97458193882,182.56867088607595,55923.92262341477,184.60791139240507,54867.942598795904,182.69145569620252,55252.13665878379,183.61329113924052,55115.69812182161,183.68474683544304
21,56511.514146174806,184.476582278481,53022.97458193882,182.80348101265824,55923.92262341477,184.7348101265823,54867.942598795904,183.63227848101266,55252.13665878379,182.6509493670886,55115.69812182161,183.65962025316458
22,56002.6644795298,183.76993670886077,53022.97458193882,183.725,55923.92262341477,185.023417721519,54867.942598795904,183.78101265822784,55252.13665878379,183.57341772151898,55013.92818849262,183.97455696202533
23,56002.6644795298,183.77911392405062,53022.97458193882,183.95664556962026,55923.92262341477,185.19018987341772,54867.942598795904,184.001582278481,55252.13665878379,183.21613924050632,55013.92818849262,184.0287341772152
24,56002.6644795298,183.5376582278481,53022.97458193882,183.9743670886076,54613.90133605887,184.80727848101264,54867.942598795904,183.79050632911392,55252.13665878379,183.6746835443038,54751.92393102144,183.9568987341772
25,56002.6644795298,184.1382911392405,53022.97458193882,183.21044303797467,54613.90133605887,185.05949367088607,54867.942598795904,183.8860759493671,53858.30299020009,183.84588607594938,54473.157197304696,184.0280379746835
26,56002.6644795298,183.71740506329115,53022.97458193882,183.79620253164558,54613.90133605887,184.9645569620253,54867.942598795904,183.72025316455696,53858.30299020009,184.2392405063291,54473.157197304696,184.08753164556964
27,55956.122776180055,183.79177215189873,53022.97458193882,183.10094936708862,54613.90133605887,184.1867088607595,54867.942598795904,183.31930379746836,53738.02229740392,184.5623417721519,54439.79271807552,183.79221518987342
28,55682.295431445884,184.3240506329114,53022.97458193882,183.83291139240507,54613.90133605887,183.3373417721519,54867.942598795904,183.42816455696203,53738.02229740392,183.99018987341773,54385.027249128674,183.7825316455696
29,55682.295431445884,184.17689873417723,53022.97458193882,183.70411392405063,54613.90133605887,183.3145569620253,54867.942598795904,182.91455696202533,53738.02229740392,183.59462025316455,54385.027249128674,183.54094936708861
