generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,112758.87951919493,29.947380602583493,115215.99939159857,29.967942263702017,108561.48741052997,29.97082439264322,115000.14443449382,29.946962306761396,116811.9374622094,29.94456865633397,113669.68964360534,29.95553564440482
2,112414.73982473614,29.841359637419234,113635.1993779678,29.876348740547055,108561.48741052997,29.906997570953457,115000.14443449382,29.84788319761788,115172.74974459183,29.884329936575785,112956.8641584639,29.871383816622682
3,112414.73982473614,29.850563831115032,112946.78053623468,29.776791205369072,108561.48741052997,29.891008974426917,115000.14443449382,29.8696314309096,114179.82687198615,29.834651305130503,112620.59581559614,29.84452934939023
4,112414.73982473614,29.8370391606202,112946.78053623468,29.79799478804097,108561.48741052997,29.88131870179735,110871.03724254086,29.880395757904196,114179.82687198615,29.852464971634916,111794.77437720555,29.849842675999525
5,112414.73982473614,29.79084155986512,112946.78053623468,29.74524592398373,108561.48741052997,29.84246166484537,110871.03724254086,29.83556934085951,114179.82687198615,29.837200588452717,111794.77437720555,29.810263815601285
6,112414.73982473614,29.815321511602622,111344.56298867016,29.795301304047214,108561.48741052997,29.878249393019004,110871.03724254086,29.797163828654,113429.30710459652,29.857781767843377,111324.22691421471,29.82876356103325
7,112414.73982473614,29.777460251047994,111344.56298867016,29.781105759903646,108561.48741052997,29.80967407847732,110871.03724254086,29.785446336364473,113429.30710459652,29.785850625872197,111324.22691421471,29.787907410333123
8,112414.73982473614,29.824401365379835,111344.56298867016,29.79158592122206,108561.48741052997,29.806498945742234,110871.03724254086,29.745325883695138,112079.98252560614,29.71697842515924,111054.36199841664,29.776958108239704
9,112414.73982473614,29.85045335399946,111344.56298867016,29.7813938611395,108561.48741052997,29.782686645229777,110871.03724254086,29.7388242334446,112079.98252560614,29.764748331645347,111054.36199841664,29.783621285091737
10,111227.93037315558,29.804023488268328,111344.56298867016,29.73265110261653,108561.48741052997,29.762527210699737,110871.03724254086,29.795512635736806,110798.3105253537,29.807085620852575,110560.66570805006,29.78036001163479
11,111227.93037315558,29.83182164583884,111344.56298867016,29.83219386336686,108561.48741052997,29.807059933936173,110871.03724254086,29.81843504615487,110798.3105253537,29.821425193537017,110560.66570805006,29.822187136566754
12,111159.77350474815,29.782464291016787,111344.56298867016,29.849850418415905,108561.48741052997,29.809498753531106,110871.03724254086,29.82333991611168,110798.3105253537,29.85658642323359,110547.03433436858,29.824347960461814
13,111159.77350474815,29.79441557284156,111344.56298867016,29.77878161297241,108561.48741052997,29.794796448318465,110871.03724254086,29.82982076368602,110798.3105253537,29.846788810293504,110547.03433436858,29.808920641622386
14,111159.77350474815,29.814227493981154,111344.56298867016,29.77993376849812,108561.48741052997,29.813120672146695,110871.03724254086,29.797120517633886,110798.3105253537,29.866142863501278,110547.03433436858,29.814109063152227
15,111159.77350474815,29.838043018305186,111344.56298867016,29.792444241608926,108561.48741052997,29.807135993481584,110871.03724254086,29.845333954977527,110798.3105253537,29.803917201314032,110547.03433436858,29.81737488193745
16,111159.77350474815,29.806246335902692,111344.56298867016,29.83886229602066,108561.48741052997,29.70880685199439,110871.03724254086,29.802160007842023,110798.3105253537,29.79356827970912,110547.03433436858,29.789928754293776
17,111159.77350474815,29.809477652882645,111245.13610004038,29.869900691903034,108561.48741052997,29.75428940577273,110871.03724254086,29.832603933730905,110798.3105253537,29.846430332447955,110527.14895664263,29.822540403347453
18,111159.77350474815,29.853549763152557,111245.13610004038,29.793571969044095,108561.48741052997,29.74022105689548,110871.03724254086,29.84878972662146,110798.3105253537,29.83183461143839,110527.14895664263,29.813593425430394
19,111159.77350474815,29.870646918012117,111245.13610004038,29.831182302275298,108561.48741052997,29.822139056783563,110871.03724254086,29.83960556923905,110798.3105253537,29.755201536140365,110527.14895664263,29.82375507649008
20,111159.77350474815,29.853466504405368,111245.13610004038,29.87466357310605,108561.48741052997,29.789173867038944,110871.03724254086,29.766068555515837,110798.3105253537,29.805211407869212,110527.14895664263,29.817716781587087
21,111159.77350474815,29.776060174150192,111245.13610004038,29.796212009973257,108561.48741052997,29.808392063585075,110871.03724254086,29.733454685467116,110798.3105253537,29.77750245932907,110527.14895664263,29.77832427850094
22,111159.77350474815,29.75051131140513,111245.13610004038,29.767320466508934,108561.48741052997,29.80304267811393,110871.03724254086,29.778650163140167,110798.3105253537,29.788800948864772,110527.14895664263,29.777665113606588
23,111159.77350474815,29.687766336201314,111245.13610004038,29.820559292109667,108561.48741052997,29.832191492161595,110871.03724254086,29.79493375345774,110798.3105253537,29.814515162706606,110527.14895664263,29.789993207327388
24,111159.77350474815,29.813545143677306,111245.13610004038,29.744184352726172,108561.48741052997,29.81411792311414,110871.03724254086,29.82094565388519,110798.3105253537,29.78556202109125,110527.14895664263,29.79567101889881
25,111159.77350474815,29.796488597631285,111245.13610004038,29.717521608975456,108561.48741052997,29.742939034995945,110871.03724254086,29.834321741978624,110798.3105253537,29.690281757755887,110527.14895664263,29.756310548267443
26,111159.77350474815,29.748751414670725,110285.92536841928,29.786334015433564,108561.48741052997,29.811266044154653,110871.03724254086,29.88446776188042,110798.3105253537,29.781337796238493,110335.3068103184,29.80243140647557
27,111159.77350474815,29.677146377082945,110285.92536841928,29.782796568895787,108561.48741052997,29.79750746104351,110871.03724254086,29.85045989332211,110798.3105253537,29.725799817924262,110335.3068103184,29.766742023653723
28,111159.77350474815,29.725960379081016,110285.92536841928,29.802498461558372,108561.48741052997,29.798974324962987,110871.03724254086,29.832117435909076,110798.3105253537,29.801050268276075,110335.3068103184,29.792120173957507
29,111159.77350474815,29.761870081240122,110285.92536841928,29.756651317254516,108561.48741052997,29.772821905852453,110871.03724254086,29.824275304901914,110798.3105253537,29.801366800346024,110335.3068103184,29.78339708191901
30,111159.77350474815,29.759088846398594,110285.92536841928,29.716898963765413,108561.48741052997,29.8336318050983,110871.03724254086,29.726803331535645,110798.3105253537,29.765996027628518,110335.3068103184,29.760483794885296
