generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,139996.70718201174,258.6610759493671,141356.6097047858,258.55,141845.71047940786,258.33259493670886,140747.6090219358,258.47816455696204,141486.8549949005,257.9373417721519,141086.69827660834,258.391835443038
2,139996.70718201174,258.1841772151899,141356.6097047858,258.1028481012658,139676.60927681686,258.32689873417723,140431.09414236635,258.33164556962026,139157.9363520024,258.45759493670886,140123.7913315966,258.2806329113924
3,139395.2677208198,258.2006329113924,138865.63446675584,258.421835443038,138945.46964488196,258.5373417721519,139651.8695419561,257.9898734177215,139157.9363520024,258.02183544303796,139203.23554528324,258.2343037974683
4,139336.78721410467,258.15253164556964,138865.63446675584,258.2253164556962,138232.60355218747,258.4636075949367,138066.64928335004,258.2645569620253,137802.6089712941,257.82848101265824,138460.85669753843,258.18689873417725
5,137870.94298211316,257.83101265822785,138865.63446675584,258.03069620253166,138232.60355218747,258.3025316455696,138066.64928335004,257.8481012658228,137802.6089712941,258.1487341772152,138167.6878511401,258.03221518987345
6,137870.94298211316,257.8977848101266,138865.63446675584,257.5503164556962,138061.20056425538,258.26740506329116,138066.64928335004,257.79335443037974,136063.55942655893,258.079746835443,137785.59734460665,257.9177215189873
7,137509.4793440639,257.9867088607595,138865.63446675584,257.8091772151899,135724.2288926039,258.1373417721519,137376.08117282556,257.71898734177216,136063.55942655893,257.37373417721517,137107.79666056164,257.80518987341776
8,137509.4793440639,257.9142405063291,136902.06003447884,258.1110759493671,135724.2288926039,258.1003164556962,135642.43133234742,257.421835443038,136063.55942655893,257.20569620253167,136368.35180601059,257.7506329113924
9,136838.41010857167,258.0246835443038,136902.06003447884,257.6677215189873,133497.84232000736,258.07056962025314,135642.43133234742,257.64177215189875,136063.55942655893,257.4876582278481,135788.86064439284,257.7784810126582
10,136838.41010857167,257.9810126582278,136902.06003447884,257.8867088607595,133497.84232000736,257.98259493670884,135642.43133234742,257.4363924050633,136063.55942655893,257.8386075949367,135788.86064439284,257.82506329113926
11,136838.41010857167,257.90569620253166,136902.06003447884,258.02183544303796,133497.84232000736,258.09651898734177,134153.6247839271,257.4348101265823,136063.55942655893,257.73227848101266,135491.0993347088,257.83822784810127
12,136828.73644981778,257.8129746835443,136902.06003447884,258.13386075949364,133497.84232000736,258.14240506329116,134153.6247839271,256.93544303797466,135033.07398638845,257.68196202531647,135283.06751492393,257.74132911392405
13,135143.5969024613,257.88354430379746,136902.06003447884,257.80727848101264,133497.84232000736,257.2917721518987,132770.45624279036,256.61613924050636,135033.07398638845,257.75284810126584,134669.40589722525,257.4703164556962
