generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,111549.93392845275,348.35,109277.37392044868,347.99398734177214,111567.8523041812,348.3240506329114,111697.67058329693,348.4351265822785,110247.75526233419,348.0496835443038,110868.11719974274,348.2305696202531
2,111549.93392845275,347.6848101265823,109277.37392044868,347.6863924050633,111567.8523041812,347.973417721519,111697.67058329693,348.1142405063291,110247.75526233419,347.64493670886077,110868.11719974274,347.8207594936709
3,111549.93392845275,347.8164556962025,109277.37392044868,347.84398734177216,110862.08744368618,347.14683544303796,108546.9047261578,347.77816455696205,110247.75526233419,347.76930379746835,110096.81105621593,347.6709493670886
4,111549.93392845275,347.8373417721519,108923.1460951401,347.00601265822786,110862.08744368618,346.55221518987344,108546.9047261578,348.0041139240506,110247.75526233419,347.5224683544304,110025.96549115419,347.3844303797469
5,111549.93392845275,347.051582278481,108923.1460951401,346.7379746835443,110862.08744368618,347.28101265822784,108546.9047261578,347.03987341772154,109760.20212709691,347.19430379746836,109928.45486410675,347.0609493670886
6,110472.94422504366,346.6129746835443,108923.1460951401,346.7136075949367,109682.96078011626,346.920253164557,108546.9047261578,347.2474683544304,109760.20212709691,346.69050632911393,109477.23159071096,346.83696202531644
7,109333.34805174496,346.69556962025314,108923.1460951401,347.1588607594937,109682.96078011626,346.8898734177215,108546.9047261578,346.82056962025314,109760.20212709691,346.5977848101266,109249.3123560512,346.8325316455696
8,109333.34805174496,346.59303797468357,108923.1460951401,347.46803797468357,109509.83197898284,347.128164556962,108546.9047261578,347.1025316455696,109342.75056155311,345.95506329113925,109131.19628271577,346.8493670886076
9,109333.34805174496,346.5772151898734,108923.1460951401,347.0243670886076,106145.40014276684,347.3623417721519,108546.9047261578,347.3085443037975,109342.75056155311,346.45348101265824,108458.30991547256,346.9451898734178
10,109333.34805174496,346.39082278481015,108923.1460951401,346.0822784810127,106145.40014276684,347.0775316455696,108546.9047261578,346.87151898734174,109342.75056155311,346.75791139240505,108458.30991547256,346.6360126582278
11,109333.34805174496,346.46993670886076,108668.73202133056,346.3753164556962,106145.40014276684,346.8518987341772,108546.9047261578,345.7664556962025,109342.75056155311,346.9113924050633,108407.42710071066,346.47499999999997
12,109333.34805174496,346.0715189873418,108668.73202133056,346.69430379746836,106145.40014276684,347.0148734177215,108546.9047261578,345.94272151898736,109342.75056155311,346.26677215189875,108407.42710071066,346.3980379746835
13,109333.34805174496,346.1471518987342,108342.24999071263,346.25506329113927,106145.40014276684,346.93069620253164,108546.9047261578,346.5287974683544,109342.75056155311,346.02848101265823,108342.13069458706,346.37803797468354
14,109333.34805174496,345.5623417721519,108342.24999071263,345.8348101265823,106145.40014276684,346.75126582278483,108546.9047261578,346.37974683544303,109342.75056155311,346.34272151898733,108342.13069458706,346.17417721518984
