generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,193929.7043300694,355.59493670886076,193001.7676532321,355.56044303797466,190064.2095090565,356.4645569620253,192601.26316344467,356.24620253164557,191726.62416925858,356.52088607594936,192264.71376501225,356.07740506329117
2,190470.4717852249,355.81613924050635,193001.7676532321,354.23639240506327,190064.2095090565,355.92974683544304,192601.26316344467,355.6924050632911,191726.62416925858,356.22879746835446,191572.86725604333,355.5806962025316
3,188233.94477758653,355.99145569620254,192818.67789423012,355.426582278481,190064.2095090565,356.11993670886073,192601.26316344467,355.68322784810124,191620.286160898,355.88860759493673,191067.67630104316,355.82196202531645
4,188233.94477758653,355.4617088607595,192514.34823687878,356.17974683544304,189337.45780301042,355.26993670886077,192601.26316344467,355.62151898734174,191620.286160898,355.58101265822785,190861.46002836368,355.6227848101265
5,188233.94477758653,355.4300632911392,192514.34823687878,355.72151898734177,185796.20162220357,355.1129746835443,192484.15745421158,355.6882911392405,191620.286160898,355.84430379746834,190129.7876503557,355.55943037974686
6,188233.94477758653,355.4908227848101,192514.34823687878,355.6528481012658,185796.20162220357,355.75,188812.64377237365,355.5237341772152,188446.75798178447,355.3332278481013,188760.77927816537,355.5501265822785
7,188233.94477758653,355.50537974683544,192514.34823687878,355.71424050632913,185796.20162220357,355.52974683544306,187338.43843612255,355.18196202531647,188446.75798178447,355.7829113924051,188465.93821091516,355.54284810126586
8,185210.80882700457,355.5506329113924,191248.86303755076,355.4908227848101,185796.20162220357,356.03227848101267,187338.43843612255,354.96772151898733,188446.75798178447,355.45854430379745,187608.2139809332,355.49999999999994
9,185210.80882700457,355.15822784810126,191248.86303755076,354.98037974683547,185796.20162220357,355.79398734177215,187338.43843612255,355.62626582278483,188446.75798178447,354.4775316455696,187608.2139809332,355.2072784810126
10,185210.80882700457,355.05791139240506,191248.86303755076,355.40822784810126,185796.20162220357,355.9943037974684,186161.11749619304,355.9471518987342,188446.75798178447,355.329746835443,187372.7497929473,355.5474683544304
11,185210.80882700457,355.07056962025314,190255.45371943983,355.4136075949367,185796.20162220357,355.546835443038,186161.11749619304,354.6392405063291,188446.75798178447,354.475,187174.0679293251,355.0290506329114
12,185210.80882700457,354.7740506329114,190255.45371943983,355.5474683544304,185796.20162220357,355.68322784810124,186161.11749619304,355.56930379746836,188446.75798178447,353.6610759493671,187174.0679293251,355.0470253164557
13,185210.80882700457,354.4490506329114,190255.45371943983,355.4958860759494,185796.20162220357,355.77025316455695,186161.11749619304,355.66075949367087,187772.4546545773,354.2110759493671,187039.20726388367,355.11740506329113
14,184625.13083596158,354.59398734177216,190255.45371943983,355.73259493670884,185796.20162220357,355.704746835443,186161.11749619304,355.503164556962,187772.4546545773,355.123417721519,186922.07166567506,355.33158227848105
15,184625.13083596158,353.87784810126584,190255.45371943983,356.15,185796.20162220357,355.5338607594937,186161.11749619304,355.14588607594936,187772.4546545773,355.10822784810125,186922.07166567506,355.16316455696204
16,184625.13083596158,353.5224683544304,190255.45371943983,355.2481012658228,185796.20162220357,355.920253164557,186161.11749619304,355.14493670886077,183916.04810068745,355.4762658227848,186150.7903548971,355.0624050632911
17,184625.13083596158,354.0664556962025,190255.45371943983,355.56962025316454,185796.20162220357,355.4370253164557,186161.11749619304,354.5610759493671,183916.04810068745,354.88607594936707,186150.7903548971,354.9040506329114
18,184625.13083596158,354.9079113924051,190255.45371943983,356.0946202531646,185796.20162220357,354.6841772151899,186161.11749619304,354.323417721519,183916.04810068745,354.9636075949367,186150.7903548971,354.9947468354431
19,184625.13083596158,354.8560126582278,190255.45371943983,355.9136075949367,185796.20162220357,355.78101265822784,186161.11749619304,354.7731012658228,183916.04810068745,355.2867088607595,186150.7903548971,355.32208860759494
20,184625.13083596158,354.90664556962025,190255.45371943983,355.29556962025316,185796.20162220357,355.64525316455695,186161.11749619304,355.4104430379747,183916.04810068745,354.9424050632911,186150.7903548971,355.2400632911393
21,184625.13083596158,355.3876582278481,190078.58026340493,355.4376582278481,185796.20162220357,355.74873417721517,185744.9621263096,355.5901898734177,183916.04810068745,354.80822784810124,186032.18458971343,355.39449367088605
22,184625.13083596158,354.71645569620256,190078.58026340493,355.8398734177215,185796.20162220357,355.49525316455697,185744.9621263096,355.6373417721519,183916.04810068745,354.97246835443036,186032.18458971343,355.3322784810127
23,184625.13083596158,354.3386075949367,186276.27924292182,354.78259493670885,184473.85423727997,355.57025316455696,185744.9621263096,355.3626582278481,183916.04810068745,355.21930379746834,185007.25490863208,355.0546835443039
24,184625.13083596158,354.1136075949367,185707.04087326932,354.1022151898734,183732.0959735499,355.3503164556962,185744.9621263096,354.9537974683544,183916.04810068745,354.698417721519,184745.05558195556,354.64367088607594
25,184625.13083596158,354.74240506329113,185120.69842862297,354.6642405063291,183732.0959735499,355.55316455696203,184439.70757268972,355.6006329113924,183916.04810068745,355.4651898734177,184366.73618230232,355.20512658227847
26,184625.13083596158,355.36645569620254,185120.69842862297,353.8981012658228,183732.0959735499,354.2319620253165,184439.70757268972,354.95348101265824,183916.04810068745,355.456329113924,184366.73618230232,354.78126582278486
27,184625.13083596158,354.50886075949364,185120.69842862297,353.41993670886075,183732.0959735499,354.49715189873416,184439.70757268972,354.6661392405063,183916.04810068745,354.56613924050635,184366.73618230232,354.3316455696202
28,184625.13083596158,354.9876582278481,185120.69842862297,353.6259493670886,183732.0959735499,354.6471518987342,184439.70757268972,355.0731012658228,183916.04810068745,355.3746835443038,184366.73618230232,354.74170886075945
29,184625.13083596158,354.80601265822787,185120.69842862297,354.3560126582278,183732.0959735499,354.0512658227848,184439.70757268972,355.60569620253165,183916.04810068745,355.49208860759495,184366.73618230232,354.8622151898734
30,184625.13083596158,354.6661392405063,185120.69842862297,354.7139240506329,183732.0959735499,353.6661392405063,184439.70757268972,355.6414556962025,183916.04810068745,355.6636075949367,184366.73618230232,354.8702531645569
31,184625.13083596158,354.75537974683544,185120.69842862297,354.7072784810127,183732.0959735499,353.58512658227846,184439.70757268972,355.5240506329114,183916.04810068745,355.4572784810127,184366.73618230232,354.8058227848102
32,184625.13083596158,355.4098101265823,185120.69842862297,354.5329113924051,183732.0959735499,353.8939873417722,184439.70757268972,355.58259493670886,183916.04810068745,355.3322784810127,184366.73618230232,354.9503164556962
33,184625.13083596158,355.1136075949367,185120.69842862297,354.8898734177215,183732.0959735499,354.24113924050636,184439.70757268972,356.0006329113924,183916.04810068745,355.40854430379744,184366.73618230232,355.1307594936709
34,184625.13083596158,355.1370253164557,185120.69842862297,354.5493670886076,183732.0959735499,354.49272151898737,184439.70757268972,355.38227848101263,183916.04810068745,355.17721518987344,184366.73618230232,354.94772151898735
35,184625.13083596158,355.0848101265823,185120.69842862297,353.953164556962,183732.0959735499,354.2655063291139,184439.70757268972,354.14240506329116,183916.04810068745,355.2098101265823,184366.73618230232,354.5311392405063
36,184625.13083596158,353.6528481012658,185120.69842862297,353.8386075949367,183732.0959735499,354.20348101265824,184439.70757268972,355.1028481012658,183916.04810068745,354.61993670886073,184366.73618230232,354.2835443037975
