generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,478949.4005914215,813.9737341772152,482227.54388771346,814.8167721518987,476476.0849062359,814.4180379746836,476481.37640455866,812.9537974683544,481848.2784807753,814.1661392405064,479196.5368541409,814.0656962025316
2,478949.4005914215,813.1803797468355,477468.39590234397,811.3848101265822,476476.0849062359,812.8981012658228,476481.37640455866,811.9053797468355,480884.95819535985,812.3879746835443,478052.043199984,812.3513291139241
3,478367.6601248687,811.6560126582278,477468.39590234397,807.8287974683544,476476.0849062359,812.9018987341772,476481.37640455866,809.6012658227849,480884.95819535985,808.9012658227848,477935.6951066734,810.1778481012658
4,474455.5063188803,810.4034810126582,477218.09685355186,804.0582278481013,476476.0849062359,810.904746835443,476481.37640455866,809.6446202531646,480884.95819535985,810.6370253164557,477103.2045357173,809.1296202531646
5,474455.5063188803,806.8990506329114,470913.977061911,802.3186708860759,476476.0849062359,809.3693037974683,476481.37640455866,808.5177215189873,479400.9133609601,811.1958860759494,475545.57161050924,807.6601265822785
6,473547.00459223153,805.1243670886076,470913.977061911,802.6974683544304,471658.8104210123,809.5943037974683,475284.24053961015,793.8534810126582,479400.9133609601,810.7724683544304,474160.989195145,804.4084177215188
7,473547.00459223153,803.4705696202532,467894.18361713854,796.7259493670886,471658.8104210123,810.0446202531646,472339.15351681836,786.2101265822785,475142.5364409891,811.2481012658228,472116.337717638,801.5398734177215
8,472341.99521887995,807.2566455696202,467894.18361713854,797.8113924050633,471658.8104210123,806.8354430379746,469264.2390005276,761.1506329113924,474561.03284648363,810.8120253164557,471144.05222080846,796.7732278481012
9,472341.99521887995,807.1553797468355,467894.18361713854,799.2066455696203,471658.8104210123,800.8610759493671,469264.2390005276,759.0721518987342,474561.03284648363,807.6892405063292,471144.05222080846,794.7968987341773
10,472341.99521887995,805.9851265822784,467894.18361713854,799.2848101265823,471658.8104210123,798.0284810126582,469264.2390005276,771.1873417721519,474561.03284648363,808.0186708860759,471144.05222080846,796.5008860759493
11,472341.99521887995,802.8325949367089,467894.18361713854,798.4012658227848,471658.8104210123,783.2664556962026,464885.6920198278,768.6778481012658,471768.2295301262,807.2772151898735,469709.78216139704,792.0910759493671
12,472341.99521887995,806.353164556962,467894.18361713854,799.526582278481,471658.8104210123,770.3816455696202,464885.6920198278,765.2965189873418,471768.2295301262,807.537658227848,469709.78216139704,789.8191139240506
13,472341.99521887995,805.7113924050633,467894.18361713854,801.8816455696202,470086.50657407445,742.5617088607595,464885.6920198278,767.6712025316456,470950.0016385784,806.1420886075949,469231.6758136998,784.7936075949367
14,472341.99521887995,806.9775316455696,467894.18361713854,799.532911392405,467501.5427929416,681.5806962025316,464885.6920198278,766.7664556962026,468814.4659279998,805.1962025316456,468287.57591535756,772.010759493671
15,472341.99521887995,806.4914556962025,467894.18361713854,798.3155063291139,467501.5427929416,683.618670886076,464885.6920198278,763.5800632911393,468814.4659279998,803.3392405063291,468287.57591535756,771.0689873417721
16,472341.99521887995,805.9155063291139,467894.18361713854,799.4056962025317,465459.9585784963,671.8303797468354,464885.6920198278,769.3167721518987,468814.4659279998,803.8914556962026,467879.2590724685,770.0719620253165
17,472341.99521887995,805.713924050633,467894.18361713854,800.2313291139241,465459.9585784963,666.3993670886076,464885.6920198278,768.7677215189873,468814.4659279998,804.7424050632911,467879.2590724685,769.1709493670886
18,472341.99521887995,805.125,467894.18361713854,798.4212025316456,465459.9585784963,639.1420886075949,464885.6920198278,771.7329113924051,468814.4659279998,802.1591772151899,467879.2590724685,763.316075949367
19,472341.99521887995,804.9977848101266,467894.18361713854,799.343670886076,465459.9585784963,586.9136075949367,464885.6920198278,770.218670886076,468814.4659279998,799.3493670886076,467879.2590724685,752.1646202531645
20,472341.99521887995,804.8737341772152,467894.18361713854,795.9791139240506,465459.9585784963,559.3022151898734,464885.6920198278,771.0588607594937,468814.4659279998,791.7348101265823,467879.2590724685,744.5897468354431
21,472341.99521887995,804.5139240506329,467894.18361713854,792.7246835443038,465459.9585784963,561.3696202531646,464885.6920198278,773.4525316455696,468814.4659279998,785.7534810126582,467879.2590724685,743.5628481012658
22,472341.99521887995,803.7117088607595,467894.18361713854,790.5721518987342,465459.9585784963,585.6911392405063,464885.6920198278,773.3139240506329,467718.45338130184,778.3370253164557,467660.0565631289,746.3251898734177
23,472341.99521887995,801.2613924050632,467894.18361713854,786.2066455696203,465459.9585784963,608.1243670886076,464885.6920198278,770.7677215189873,467714.903441533,776.5123417721519,467659.3465751751,748.5744936708861
24,472142.32540593616,803.6955696202532,467894.18361713854,786.8443037974683,465459.9585784963,634.6759493670886,464885.6920198278,771.1813291139241,467714.903441533,775.1322784810127,467619.4126125864,754.3058860759495
25,467271.1240787118,803.4572784810126,467894.18361713854,790.9965189873418,465459.9585784963,620.5588607594937,464885.6920198278,771.1689873417722,466242.3460881124,769.6727848101266,466350.6608764573,751.1708860759494
26,467271.1240787118,799.5582278481013,467894.18361713854,793.2098101265823,465459.9585784963,621.0832278481013,464885.6920198278,773.4332278481013,466242.3460881124,771.9848101265823,466350.6608764573,751.8538607594937
27,467271.1240787118,793.281329113924,467894.18361713854,794.0537974683544,465459.9585784963,639.3212025316456,464885.6920198278,768.5534810126583,466242.3460881124,773.2626582278481,466350.6608764573,753.6944936708861
